# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-3.631416e+00	-6.317773e+00	-1.089421e+01	-9.078522e+00	-1.815691e+00
1             	-4.782866e+00	-5.885302e+00	-8.091122e+00	-8.828427e+00	7.373045e-01
2             	-4.898962e+00	-5.086884e+00	-8.086258e+00	-8.942091e+00	8.558334e-01
3             	-4.091058e+00	-4.520100e+00	-8.109253e+00	-8.145685e+00	3.643213e-02
4             	-3.822037e+00	-4.119432e+00	-8.093333e+00	-7.868704e+00	-2.246292e-01
5             	-3.927601e+00	-3.836885e+00	-8.099252e+00	-7.977227e+00	-1.220248e-01
6             	-4.047911e+00	-3.632636e+00	-8.107160e+00	-8.101491e+00	-5.669146e-03
7             	-4.111379e+00	-3.479438e+00	-8.112020e+00	-8.167388e+00	5.536896e-02
8             	-4.144414e+00	-3.360722e+00	-8.118256e+00	-8.203542e+00	8.528589e-02
9             	-4.147197e+00	-3.265669e+00	-8.121434e+00	-8.207914e+00	8.647993e-02
10            	-4.131914e+00	-3.187490e+00	-8.124392e+00	-8.194110e+00	6.971835e-02
11            	-4.113874e+00	-3.121746e+00	-8.126173e+00	-8.176960e+00	5.078726e-02
12            	-4.114296e+00	-3.065721e+00	-8.127810e+00	-8.178201e+00	5.039116e-02
13            	-4.127839e+00	-3.017451e+00	-8.128817e+00	-8.192247e+00	6.343029e-02
14            	-4.138133e+00	-2.975365e+00	-8.128973e+00	-8.202619e+00	7.364603e-02
15            	-4.137841e+00	-2.938218e+00	-8.128651e+00	-8.202167e+00	7.351573e-02
16            	-4.127860e+00	-2.905055e+00	-8.128696e+00	-8.192208e+00	6.351251e-02
17            	-4.111799e+00	-2.875155e+00	-8.129027e+00	-8.176313e+00	4.728562e-02
18            	-4.101016e+00	-2.848028e+00	-8.129378e+00	-8.165705e+00	3.632763e-02
19            	-4.096739e+00	-2.823329e+00	-8.129697e+00	-8.161588e+00	3.189112e-02
20            	-4.097467e+00	-2.800773e+00	-8.129984e+00	-8.162459e+00	3.247562e-02
21            	-4.097545e+00	-2.780082e+00	-8.130204e+00	-8.162647e+00	3.244254e-02
22            	-4.094237e+00	-2.761004e+00	-8.130416e+00	-8.159445e+00	2.902877e-02
23            	-4.087766e+00	-2.743331e+00	-8.130602e+00	-8.153067e+00	2.246560e-02
24            	-4.078780e+00	-2.726874e+00	-8.130625e+00	-8.144092e+00	1.346684e-02
25            	-4.067352e+00	-2.711492e+00	-8.130781e+00	-8.132743e+00	1.962181e-03
26            	-4.103415e+00	-2.697144e+00	-8.130961e+00	-8.168895e+00	3.793418e-02
27            	-4.093223e+00	-2.683603e+00	-8.130747e+00	-8.158597e+00	2.784966e-02
28            	-4.018989e+00	-2.670696e+00	-8.135791e+00	-8.086884e+00	-4.890635e-02
29            	-4.019706e+00	-2.658629e+00	-8.137393e+00	-8.088403e+00	-4.899058e-02
30            	-4.017783e+00	-2.647248e+00	-8.137256e+00	-8.086411e+00	-5.084499e-02
31            	-4.014387e+00	-2.636477e+00	-8.137136e+00	-8.082955e+00	-5.418039e-02
32            	-4.009949e+00	-2.626268e+00	-8.137017e+00	-8.078458e+00	-5.855906e-02
33            	-4.004617e+00	-2.616573e+00	-8.136904e+00	-8.073069e+00	-6.383512e-02
34            	-3.998516e+00	-2.607346e+00	-8.136800e+00	-8.066916e+00	-6.988363e-02
35            	-3.991806e+00	-2.598546e+00	-8.136700e+00	-8.060156e+00	-7.654426e-02
36            	-3.984705e+00	-2.590138e+00	-8.136609e+00	-8.053010e+00	-8.359965e-02
37            	-3.977345e+00	-2.582089e+00	-8.136528e+00	-8.045609e+00	-9.091898e-02
38            	-4.005111e+00	-2.574417e+00	-8.131227e+00	-8.070725e+00	-6.050260e-02
39            	-4.010699e+00	-2.567064e+00	-8.130286e+00	-8.075842e+00	-5.444428e-02
40            	-4.005528e+00	-2.559972e+00	-8.131725e+00	-8.071390e+00	-6.033459e-02
41            	-4.003187e+00	-2.553162e+00	-8.131987e+00	-8.069180e+00	-6.280648e-02
42            	-4.000776e+00	-2.546606e+00	-8.132034e+00	-8.066793e+00	-6.524090e-02
43            	-3.997847e+00	-2.540292e+00	-8.132039e+00	-8.063866e+00	-6.817248e-02
44            	-3.994606e+00	-2.534209e+00	-8.132032e+00	-8.060622e+00	-7.141008e-02
45            	-3.991127e+00	-2.528345e+00	-8.132021e+00	-8.057138e+00	-7.488336e-02
46            	-3.982253e+00	-2.522656e+00	-8.131689e+00	-8.048097e+00	-8.359173e-02
47            	-3.978295e+00	-2.517193e+00	-8.130534e+00	-8.043561e+00	-8.697217e-02
48            	-3.974371e+00	-2.511916e+00	-8.130495e+00	-8.039618e+00	-9.087665e-02
49            	-3.970305e+00	-2.506814e+00	-8.130509e+00	-8.035559e+00	-9.494973e-02
50            	-3.966196e+00	-2.501876e+00	-8.130525e+00	-8.031459e+00	-9.906583e-02
51            	-3.962024e+00	-2.497092e+00	-8.130544e+00	-8.027296e+00	-1.032475e-01
52            	-3.958509e+00	-2.492460e+00	-8.130566e+00	-8.023792e+00	-1.067742e-01
53            	-3.955693e+00	-2.487972e+00	-8.130603e+00	-8.020995e+00	-1.096089e-01
54            	-3.953348e+00	-2.483618e+00	-8.130648e+00	-8.018672e+00	-1.119761e-01
55            	-3.951879e+00	-2.479393e+00	-8.130688e+00	-8.017222e+00	-1.134652e-01
56            	-3.950742e+00	-2.475287e+00	-8.130731e+00	-8.016108e+00	-1.146233e-01
57            	-3.949242e+00	-2.471289e+00	-8.130771e+00	-8.014627e+00	-1.161438e-01
58            	-3.947630e+00	-2.467397e+00	-8.130798e+00	-8.013029e+00	-1.177695e-01
59            	-3.945966e+00	-2.463606e+00	-8.130821e+00	-8.011377e+00	-1.194443e-01
60            	-3.944269e+00	-2.459912e+00	-8.130842e+00	-8.009690e+00	-1.211523e-01
61            	-3.942549e+00	-2.456313e+00	-8.130861e+00	-8.007979e+00	-1.228819e-01
62            	-3.897710e+00	-2.452715e+00	-8.122053e+00	-7.958737e+00	-1.633164e-01
63            	-3.917502e+00	-2.449354e+00	-8.121926e+00	-7.978465e+00	-1.434613e-01
64            	-3.915632e+00	-2.446015e+00	-8.123822e+00	-7.977543e+00	-1.462788e-01
65            	-3.914438e+00	-2.442766e+00	-8.123313e+00	-7.976095e+00	-1.472183e-01
