z,p_rgh,alpha.concrete,nu1
0,-168.135,1,0.02683
0.000676768,-168.135,1,0.02683
0.00135354,-168.135,1,0.02683
0.0020303,-168.135,1,0.02683
0.00270707,-168.135,1,0.02683
0.00338384,-168.135,1,0.02683
0.00406061,-168.135,1,0.02683
0.00473737,-168.135,1,0.02683
0.00541414,-168.135,1,0.02683
0.00609091,-168.135,1,0.02683
0.00676768,-168.135,1,0.02683
0.00744444,-168.135,1,0.02683
0.00812121,-168.135,1,0.02683
0.00879798,-168.135,1,0.02683
0.00947475,-168.135,1,0.02683
0.0101515,-168.135,1,0.02683
0.0108283,-168.135,1,0.02683
0.0115051,-168.135,1,0.02683
0.0121818,-168.135,1,0.02683
0.0128586,-168.135,1,0.02683
0.0135354,-168.135,1,0.02683
0.0142121,-168.135,1,0.02683
0.0148889,-168.135,1,0.02683
0.0155657,-168.135,1,0.02683
0.0162424,-168.134,1,0.02683
0.0169192,-168.135,1,0.02683
0.017596,-168.135,1,0.02683
0.0182727,-168.135,1,0.02683
0.0189495,-168.134,1,0.02683
0.0196263,-168.135,1,0.02683
0.020303,-168.134,1,0.02683
0.0209798,-168.135,1,0.02683
0.0216566,-168.135,1,0.02683
0.0223333,-168.135,1,0.02683
0.0230101,-168.135,1,0.02683
0.0236869,-168.135,1,0.02683
0.0243636,-168.134,1,0.02683
0.0250404,-168.134,1,0.02683
0.0257172,-168.135,1,0.02683
0.0263939,-168.135,1,0.02683
0.0270707,-168.135,1,0.02683
0.0277475,-168.134,1,0.02683
0.0284242,-168.135,1,0.02683
0.029101,-168.135,1,0.02683
0.0297778,-168.135,1,0.02683
0.0304545,-168.135,1,0.02683
0.0311313,-168.135,1,0.02683
0.0318081,-168.134,1,0.02683
0.0324848,-168.134,1,0.02683
0.0331616,-126.525,0.752525,0.0211703
0.0338384,-41.6089,0.247475,0.00939092
0.0345152,4.08044e-06,0,0.00455021
0.0351919,4.09016e-06,0,0.0117764
0.0358687,4.09979e-06,0,0.0224578
0.0365455,4.10911e-06,0,0.02683
0.0372222,4.11754e-06,0,0.02683
0.037899,4.12516e-06,0,0.02683
0.0385758,4.13202e-06,0,0.02683
0.0392525,4.13803e-06,0,0.02683
0.0399293,4.1432e-06,0,0.02683
0.0406061,4.14754e-06,0,0.02683
0.0412828,4.15103e-06,0,0.02683
0.0419596,4.15365e-06,0,0.02683
0.0426364,4.15541e-06,0,0.02683
0.0433131,4.15628e-06,0,0.02683
0.0439899,4.15625e-06,0,0.02683
0.0446667,4.15532e-06,0,0.02683
0.0453434,4.15346e-06,0,0.02683
0.0460202,4.15066e-06,0,0.02683
0.046697,4.1469e-06,0,0.02683
0.0473737,4.14218e-06,0,0.02683
0.0480505,4.13647e-06,0,0.02683
0.0487273,4.12976e-06,0,0.02683
0.049404,4.12203e-06,0,0.02683
0.0500808,4.11327e-06,0,0.02683
0.0507576,4.10346e-06,0,0.02683
0.0514343,4.0926e-06,0,0.02683
0.0521111,4.08067e-06,0,0.02683
0.0527879,4.06765e-06,0,0.02683
0.0534646,4.05354e-06,0,0.02683
0.0541414,4.03833e-06,0,0.02683
0.0548182,4.02201e-06,0,0.02683
0.0554949,4.00458e-06,0,0.02683
0.0561717,3.98604e-06,0,0.02683
0.0568485,3.96639e-06,0,0.02683
0.0575253,3.94564e-06,0,0.02683
0.058202,3.92379e-06,0,0.02683
0.0588788,3.90087e-06,0,0.02683
0.0595556,3.87688e-06,0,0.02683
0.0602323,3.85187e-06,0,0.02683
0.0609091,3.82585e-06,0,0.02683
0.0615859,3.79887e-06,0,0.02683
0.0622626,3.77097e-06,0,0.02683
0.0629394,3.74219e-06,0,0.02683
0.0636162,3.7126e-06,0,0.02683
0.0642929,3.68225e-06,0,0.02683
0.0649697,3.65119e-06,0,0.02683
0.0656465,3.6194e-06,0,0.02683
0.0663232,3.58683e-06,0,0.02683
0.067,3.44291e-06,0,0.02683
