# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-3.631450e+00	-4.139338e+00	-1.089421e+01	-9.078557e+00	-1.815657e+00
1             	-4.455885e+00	-4.090419e+00	-8.133198e+00	-8.522484e+00	3.892857e-01
2             	-4.740262e+00	-3.988378e+00	-8.132714e+00	-8.806618e+00	6.739047e-01
3             	-4.760046e+00	-3.851926e+00	-8.132363e+00	-8.826227e+00	6.938649e-01
4             	-4.391886e+00	-3.725660e+00	-8.132480e+00	-8.458126e+00	3.256465e-01
5             	-4.004734e+00	-3.609715e+00	-8.132608e+00	-8.071038e+00	-6.156988e-02
6             	-3.715253e+00	-3.504592e+00	-8.134301e+00	-7.782403e+00	-3.518979e-01
7             	-3.522538e+00	-3.410682e+00	-8.134432e+00	-7.589754e+00	-5.446781e-01
8             	-3.422262e+00	-3.327283e+00	-8.134075e+00	-7.489300e+00	-6.447757e-01
9             	-3.388932e+00	-3.253350e+00	-8.134415e+00	-7.456140e+00	-6.782751e-01
10            	-3.414003e+00	-3.187727e+00	-8.134332e+00	-7.481169e+00	-6.531623e-01
11            	-3.472185e+00	-3.129395e+00	-8.134138e+00	-7.539254e+00	-5.948838e-01
12            	-3.540393e+00	-3.077385e+00	-8.133985e+00	-7.607386e+00	-5.265989e-01
13            	-3.607347e+00	-3.030824e+00	-8.133831e+00	-7.674262e+00	-4.595687e-01
14            	-3.655308e+00	-2.988917e+00	-8.133683e+00	-7.722150e+00	-4.115331e-01
15            	-3.677507e+00	-2.950977e+00	-8.133540e+00	-7.744277e+00	-3.892632e-01
16            	-3.677694e+00	-2.916434e+00	-8.133383e+00	-7.744386e+00	-3.889977e-01
17            	-3.662468e+00	-2.884821e+00	-8.133207e+00	-7.729072e+00	-4.041352e-01
18            	-3.642831e+00	-2.855771e+00	-8.133067e+00	-7.709365e+00	-4.237022e-01
19            	-3.621824e+00	-2.828988e+00	-8.132997e+00	-7.688322e+00	-4.446750e-01
20            	-3.586367e+00	-2.804189e+00	-8.130300e+00	-7.651517e+00	-4.787832e-01
21            	-3.578349e+00	-2.781290e+00	-8.130188e+00	-7.643443e+00	-4.867448e-01
22            	-3.581084e+00	-2.760075e+00	-8.130157e+00	-7.646163e+00	-4.839944e-01
23            	-3.587400e+00	-2.740367e+00	-8.130134e+00	-7.652467e+00	-4.776664e-01
24            	-3.592468e+00	-2.722004e+00	-8.130116e+00	-7.657526e+00	-4.725904e-01
25            	-3.594469e+00	-2.704841e+00	-8.130105e+00	-7.659521e+00	-4.705842e-01
26            	-3.592686e+00	-2.688750e+00	-8.130099e+00	-7.657735e+00	-4.723637e-01
27            	-3.587245e+00	-2.673617e+00	-8.130095e+00	-7.652293e+00	-4.778019e-01
28            	-3.580159e+00	-2.659346e+00	-8.130089e+00	-7.645204e+00	-4.848855e-01
29            	-3.572569e+00	-2.645858e+00	-8.130092e+00	-7.637615e+00	-4.924765e-01
30            	-3.565700e+00	-2.633090e+00	-8.130099e+00	-7.630750e+00	-4.993495e-01
31            	-3.562318e+00	-2.621001e+00	-8.130115e+00	-7.627376e+00	-5.027392e-01
32            	-3.562913e+00	-2.609547e+00	-8.130147e+00	-7.627986e+00	-5.021606e-01
33            	-3.566726e+00	-2.598684e+00	-8.130187e+00	-7.631820e+00	-4.983671e-01
34            	-3.571152e+00	-2.588368e+00	-8.130223e+00	-7.636264e+00	-4.939595e-01
35            	-3.666311e+00	-2.578662e+00	-8.136256e+00	-7.734439e+00	-4.018168e-01
36            	-3.666711e+00	-2.569375e+00	-8.136046e+00	-7.734734e+00	-4.013126e-01
37            	-3.665767e+00	-2.560468e+00	-8.135863e+00	-7.733699e+00	-4.021643e-01
38            	-3.663462e+00	-2.551952e+00	-8.135723e+00	-7.731323e+00	-4.043999e-01
39            	-3.659964e+00	-2.543798e+00	-8.135615e+00	-7.727771e+00	-4.078437e-01
40            	-3.655460e+00	-2.535979e+00	-8.135527e+00	-7.723223e+00	-4.123039e-01
41            	-3.650165e+00	-2.528470e+00	-8.135452e+00	-7.717891e+00	-4.175615e-01
42            	-3.644327e+00	-2.521250e+00	-8.135388e+00	-7.712021e+00	-4.233673e-01
43            	-3.639093e+00	-2.514302e+00	-8.135331e+00	-7.706758e+00	-4.285722e-01
44            	-3.635924e+00	-2.507617e+00	-8.135275e+00	-7.703561e+00	-4.317139e-01
45            	-3.634836e+00	-2.501180e+00	-8.135220e+00	-7.702446e+00	-4.327744e-01
46            	-3.635447e+00	-2.494980e+00	-8.135152e+00	-7.703023e+00	-4.321289e-01
47            	-3.637274e+00	-2.489006e+00	-8.135089e+00	-7.704819e+00	-4.302701e-01
48            	-3.639012e+00	-2.483243e+00	-8.135033e+00	-7.706528e+00	-4.285044e-01
49            	-3.640433e+00	-2.477680e+00	-8.134986e+00	-7.707926e+00	-4.270596e-01
50            	-3.632369e+00	-2.472218e+00	-8.135051e+00	-7.699895e+00	-4.351561e-01
51            	-3.637569e+00	-2.467041e+00	-8.134947e+00	-7.705043e+00	-4.299041e-01
52            	-3.640025e+00	-2.462027e+00	-8.134893e+00	-7.707472e+00	-4.274213e-01
53            	-3.641269e+00	-2.457173e+00	-8.134851e+00	-7.708695e+00	-4.261567e-01
54            	-3.641690e+00	-2.452472e+00	-8.134815e+00	-7.709098e+00	-4.257170e-01
55            	-3.641518e+00	-2.447916e+00	-8.134781e+00	-7.708909e+00	-4.258725e-01
