z,p_rgh,alpha.concrete,nu1
0,-168.134,1,0.00876976
0.000676768,-168.134,1,0.0135057
0.00135354,-168.134,1,0.0209686
0.0020303,-168.134,1,0.0317134
0.00270707,-168.134,1,0.0438354
0.00338384,-168.134,1,0.0514159
0.00406061,-168.134,1,0.053083
0.00473737,-168.134,1,0.053083
0.00541414,-168.134,1,0.053083
0.00609091,-168.134,1,0.053083
0.00676768,-168.134,1,0.053083
0.00744444,-168.134,1,0.053083
0.00812121,-168.134,1,0.053083
0.00879798,-168.134,1,0.053083
0.00947475,-168.134,1,0.053083
0.0101515,-168.134,1,0.053083
0.0108283,-168.134,1,0.053083
0.0115051,-168.134,1,0.053083
0.0121818,-168.134,1,0.053083
0.0128586,-168.134,1,0.053083
0.0135354,-168.134,1,0.053083
0.0142121,-168.134,1,0.053083
0.0148889,-168.134,1,0.053083
0.0155657,-168.134,1,0.053083
0.0162424,-168.134,1,0.053083
0.0169192,-168.134,1,0.053083
0.017596,-168.134,1,0.053083
0.0182727,-168.134,1,0.053083
0.0189495,-168.134,1,0.053083
0.0196263,-168.134,1,0.053083
0.020303,-168.134,1,0.053083
0.0209798,-168.134,1,0.053083
0.0216566,-168.134,1,0.053083
0.0223333,-168.134,1,0.053083
0.0230101,-168.134,1,0.053083
0.0236869,-168.134,1,0.053083
0.0243636,-168.134,1,0.053083
0.0250404,-168.134,1,0.053083
0.0257172,-168.134,1,0.053083
0.0263939,-168.134,1,0.053083
0.0270707,-168.134,1,0.053083
0.0277475,-168.134,1,0.053083
0.0284242,-168.134,1,0.053083
0.029101,-168.134,1,0.053083
0.0297778,-168.134,1,0.053083
0.0304545,-168.134,1,0.053083
0.0311313,-168.134,1,0.053083
0.0318081,-168.134,1,0.053083
0.0324848,-168.134,1,0.053083
0.0331616,-126.525,0.752525,0.0410289
0.0338384,-41.6089,0.247475,0.0162962
0.0345152,-7.99633e-06,0,0.0087125
0.0351919,-7.99435e-06,0,0.025972
0.0358687,-7.99174e-06,0,0.0459161
0.0365455,-7.98936e-06,0,0.053083
0.0372222,-7.98722e-06,0,0.053083
0.037899,-7.98528e-06,0,0.053083
0.0385758,-7.98352e-06,0,0.053083
0.0392525,-7.98193e-06,0,0.053083
0.0399293,-7.98051e-06,0,0.053083
0.0406061,-7.97924e-06,0,0.053083
0.0412828,-7.97811e-06,0,0.053083
0.0419596,-7.97713e-06,0,0.053083
0.0426364,-7.9763e-06,0,0.053083
0.0433131,-7.97562e-06,0,0.053083
0.0439899,-7.9751e-06,0,0.053083
0.0446667,-7.97473e-06,0,0.053083
0.0453434,-7.97454e-06,0,0.053083
0.0460202,-7.97454e-06,0,0.053083
0.046697,-7.97472e-06,0,0.053083
0.0473737,-7.97507e-06,0,0.053083
0.0480505,-7.97563e-06,0,0.053083
0.0487273,-7.97641e-06,0,0.053083
0.049404,-7.97741e-06,0,0.053083
0.0500808,-7.97863e-06,0,0.053083
0.0507576,-7.98008e-06,0,0.053083
0.0514343,-7.98178e-06,0,0.053083
0.0521111,-7.98375e-06,0,0.053083
0.0527879,-7.986e-06,0,0.053083
0.0534646,-7.98852e-06,0,0.053083
0.0541414,-7.99133e-06,0,0.053083
0.0548182,-7.99444e-06,0,0.053083
0.0554949,-7.99785e-06,0,0.053083
0.0561717,-8.00156e-06,0,0.053083
0.0568485,-8.0056e-06,0,0.053083
0.0575253,-8.00996e-06,0,0.053083
0.058202,-8.0146e-06,0,0.053083
0.0588788,-8.01952e-06,0,0.053083
0.0595556,-8.02472e-06,0,0.053083
0.0602323,-8.03019e-06,0,0.053083
0.0609091,-8.03587e-06,0,0.053083
0.0615859,-8.04169e-06,0,0.053083
0.0622626,-8.04764e-06,0,0.053083
0.0629394,-8.05365e-06,0,0.053083
0.0636162,-8.05962e-06,0,0.053083
0.0642929,-8.0655e-06,0,0.053083
0.0649697,-8.0712e-06,0,0.053083
0.0656465,-8.07672e-06,0,0.053083
0.0663232,-8.08215e-06,0,0.053083
0.067,-8.10131e-06,0,0.053083
