# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
63            	1.353891e+00	-1.754424e+01	-7.495221e+00	-2.393720e+00	-5.101501e+00
64            	1.349631e+00	-1.740763e+01	-7.496479e+00	-2.398609e+00	-5.097870e+00
65            	1.344359e+00	-1.727423e+01	-7.499323e+00	-2.405303e+00	-5.094020e+00
66            	1.339038e+00	-1.714392e+01	-7.502723e+00	-2.412323e+00	-5.090399e+00
67            	1.335976e+00	-1.701658e+01	-7.504194e+00	-2.416121e+00	-5.088072e+00
68            	1.333755e+00	-1.689209e+01	-7.505682e+00	-2.419086e+00	-5.086596e+00
69            	1.330987e+00	-1.677035e+01	-7.507695e+00	-2.422860e+00	-5.084835e+00
70            	1.326600e+00	-1.665126e+01	-7.511123e+00	-2.428962e+00	-5.082162e+00
71            	1.321325e+00	-1.653473e+01	-7.515702e+00	-2.436526e+00	-5.079176e+00
72            	1.315920e+00	-1.642067e+01	-7.520593e+00	-2.444377e+00	-5.076216e+00
73            	1.312283e+00	-1.630899e+01	-7.523725e+00	-2.449580e+00	-5.074146e+00
74            	1.309504e+00	-1.619960e+01	-7.526235e+00	-2.453614e+00	-5.072621e+00
75            	1.306583e+00	-1.609243e+01	-7.529618e+00	-2.458226e+00	-5.071392e+00
76            	1.302771e+00	-1.598740e+01	-7.534453e+00	-2.464456e+00	-5.069997e+00
77            	1.297853e+00	-1.588445e+01	-7.540491e+00	-2.472393e+00	-5.068098e+00
78            	1.292333e+00	-1.578351e+01	-7.546682e+00	-2.481008e+00	-5.065674e+00
79            	1.286944e+00	-1.568451e+01	-7.552494e+00	-2.489303e+00	-5.063191e+00
80            	1.283134e+00	-1.558738e+01	-7.556604e+00	-2.495168e+00	-5.061436e+00
81            	1.279364e+00	-1.549208e+01	-7.560744e+00	-2.501009e+00	-5.059736e+00
82            	1.274934e+00	-1.539854e+01	-7.565774e+00	-2.507953e+00	-5.057821e+00
83            	1.269943e+00	-1.530672e+01	-7.571900e+00	-2.516008e+00	-5.055893e+00
84            	1.264640e+00	-1.521655e+01	-7.578487e+00	-2.524604e+00	-5.053883e+00
85            	1.259194e+00	-1.512800e+01	-7.585249e+00	-2.533431e+00	-5.051819e+00
86            	1.253985e+00	-1.504100e+01	-7.591466e+00	-2.541747e+00	-5.049718e+00
87            	1.248894e+00	-1.495553e+01	-7.597270e+00	-2.549741e+00	-5.047530e+00
88            	1.221179e+00	-1.487154e+01	-7.623457e+00	-2.590550e+00	-5.032907e+00
89            	1.216172e+00	-1.478899e+01	-7.629188e+00	-2.598422e+00	-5.030766e+00
90            	1.210745e+00	-1.470782e+01	-7.635300e+00	-2.606905e+00	-5.028395e+00
91            	1.205214e+00	-1.462799e+01	-7.641598e+00	-2.615585e+00	-5.026013e+00
92            	1.199846e+00	-1.454949e+01	-7.647682e+00	-2.623995e+00	-5.023687e+00
93            	1.194416e+00	-1.447225e+01	-7.653765e+00	-2.632467e+00	-5.021298e+00
94            	1.188639e+00	-1.439627e+01	-7.660115e+00	-2.641418e+00	-5.018697e+00
