z,p_rgh,alpha.concrete,nu1
0,-168.228,1,0.000827032
0.000336683,-168.229,1,0.000830493
0.000673367,-168.231,1,0.000834045
0.00101005,-168.233,1,0.000837713
0.00134673,-168.234,1,0.000841504
0.00168342,-168.236,1,0.000845426
0.0020201,-168.238,1,0.000849485
0.00235678,-168.24,1,0.000853687
0.00269347,-168.241,1,0.000858041
0.00303015,-168.243,1,0.000862554
0.00336683,-168.245,1,0.000867235
0.00370352,-168.247,1,0.000872093
0.0040402,-168.249,1,0.000877137
0.00437688,-168.251,1,0.000882379
0.00471357,-168.253,1,0.000887828
0.00505025,-168.255,1,0.000893498
0.00538693,-168.257,1,0.0008994
0.00572362,-168.259,1,0.000905548
0.0060603,-168.261,1,0.000911958
0.00639698,-168.263,1,0.000918644
0.00673367,-168.265,1,0.000925626
0.00707035,-168.268,1,0.00093292
0.00740704,-168.27,1,0.000940548
0.00774372,-168.272,1,0.000948532
0.0080804,-168.275,1,0.000956895
0.00841709,-168.277,1,0.000965664
0.00875377,-168.279,1,0.000974868
0.00909045,-168.282,1,0.000984537
0.00942714,-168.285,1,0.000994707
0.00976382,-168.287,1,0.00100541
0.0101005,-168.29,1,0.0010167
0.0104372,-168.293,1,0.00102861
0.0107739,-168.296,1,0.00104121
0.0111106,-168.298,1,0.00105454
0.0114472,-168.302,1,0.00106866
0.0117839,-168.305,1,0.00108366
0.0121206,-168.308,1,0.00109961
0.0124573,-168.311,1,0.0011166
0.012794,-168.314,1,0.00113473
0.0131307,-168.318,1,0.00115412
0.0134673,-168.321,1,0.0011749
0.013804,-168.324,1,0.00119723
0.0141407,-168.328,1,0.00122128
0.0144774,-168.332,1,0.00124725
0.0148141,-168.335,1,0.00127539
0.0151508,-168.339,1,0.00130596
0.0154874,-168.342,1,0.0013393
0.0158241,-168.346,1,0.00137579
0.0161608,-168.35,1,0.00141591
0.0164975,-168.354,1,0.00146022
0.0168342,-168.358,1,0.0015094
0.0171709,-168.362,1,0.00156433
0.0175075,-168.366,1,0.00162605
0.0178442,-168.37,1,0.00169593
0.0181809,-168.374,1,0.00177573
0.0185176,-168.379,1,0.00186775
0.0188543,-168.383,1,0.00197514
0.019191,-168.388,1,0.0021023
0.0195276,-168.392,1,0.00225576
0.0198643,-168.398,1,0.0024458
0.020201,-168.403,1,0.00269
0.0205377,-168.409,1,0.00302094
0.0208744,-168.417,1,0.00350412
0.0212111,-168.426,1,0.00428035
0.0215477,-168.441,1,0.00567308
0.0218844,-168.467,1,0.00847767
0.0222211,-168.526,1,0.0147718
0.0225578,-168.666,1,0.0300657
0.0228945,-169.008,1,0.0676703
0.0232312,-169.739,1,0.151423
0.0235678,-170.939,1,0.298229
0.0239045,-172.278,1,0.465151
0.0242412,-173.175,1,0.562739
0.0245779,-173.456,1,0.58333
0.0249146,-173.432,1,0.58333
0.0252513,-173.375,1,0.58333
0.0255879,-173.343,1,0.58333
0.0259246,-173.322,1,0.58333
0.0262613,-173.301,1,0.58333
0.026598,-173.278,1,0.58333
0.0269347,-173.255,1,0.58333
0.0272714,-173.232,1,0.58333
0.027608,-173.209,1,0.58333
0.0279447,-173.187,1,0.58333
0.0282814,-173.164,1,0.58333
0.0286181,-173.141,1,0.58333
0.0289548,-173.118,1,0.58333
0.0292915,-173.095,1,0.58333
0.0296281,-173.072,1,0.58333
0.0299648,-173.049,1,0.58333
0.0303015,-173.026,1,0.58333
0.0306382,-173.003,1,0.58333
0.0309749,-172.98,1,0.58333
0.0313116,-172.955,1,0.58333
0.0316482,-172.928,1,0.58333
0.0319849,-172.919,1,0.58333
0.0323216,-172.965,1,0.58333
0.0326583,-172.981,1,0.58333
0.032995,-172.373,1,0.58333
0.0333317,-128.786,0.751256,0.438408
0.0336683,-42.4659,0.248744,0.14562
0.034005,0.000518167,0,0.000666074
0.0343417,0.000516327,0,0.000652329
0.0346784,0.000514893,0,0.00065609
0.0350151,0.000513866,0,0.000661368
0.0353518,0.000513014,0,0.000668453
0.0356884,0.000512171,0,0.000677759
0.0360251,0.00051119,0,0.000689854
0.0363618,0.000509953,0,0.000705522
0.0366985,0.000508385,0,0.000725841
0.0370352,0.000506446,0,0.000752302
0.0373719,0.000504136,0,0.000786986
0.0377085,0.000501475,0,0.000832825
0.0380452,0.000498505,0,0.00089398
0.0383819,0.000495273,0,0.000976426
0.0387186,0.000491832,0,0.00108882
