# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
62            	-2.757537e+00	-1.924014e+01	-8.069334e+00	-6.792204e+00	-1.277130e+00
63            	-2.762393e+00	-1.914404e+01	-8.068882e+00	-6.796834e+00	-1.272048e+00
64            	-2.767149e+00	-1.904881e+01	-8.068371e+00	-6.801334e+00	-1.267037e+00
65            	-2.771804e+00	-1.895443e+01	-8.067835e+00	-6.805722e+00	-1.262113e+00
66            	-2.776371e+00	-1.886090e+01	-8.067227e+00	-6.809984e+00	-1.257243e+00
67            	-2.780871e+00	-1.876821e+01	-8.066676e+00	-6.814209e+00	-1.252467e+00
68            	-2.785297e+00	-1.867635e+01	-8.066123e+00	-6.818359e+00	-1.247765e+00
69            	-2.789663e+00	-1.858530e+01	-8.065622e+00	-6.822474e+00	-1.243148e+00
70            	-2.793959e+00	-1.849507e+01	-8.065133e+00	-6.826525e+00	-1.238608e+00
71            	-2.798184e+00	-1.840564e+01	-8.064645e+00	-6.830507e+00	-1.234138e+00
72            	-2.802383e+00	-1.831700e+01	-8.064203e+00	-6.834485e+00	-1.229718e+00
73            	-2.806533e+00	-1.822915e+01	-8.063786e+00	-6.838425e+00	-1.225360e+00
74            	-2.810631e+00	-1.814208e+01	-8.063374e+00	-6.842319e+00	-1.221056e+00
75            	-2.814695e+00	-1.805578e+01	-8.063056e+00	-6.846223e+00	-1.216833e+00
76            	-2.818757e+00	-1.797024e+01	-8.062835e+00	-6.850175e+00	-1.212661e+00
77            	-2.822723e+00	-1.788545e+01	-8.062588e+00	-6.854017e+00	-1.208571e+00
78            	-2.826599e+00	-1.780141e+01	-8.062310e+00	-6.857754e+00	-1.204556e+00
79            	-2.830409e+00	-1.771811e+01	-8.062014e+00	-6.861416e+00	-1.200598e+00
80            	-2.834164e+00	-1.763554e+01	-8.061715e+00	-6.865021e+00	-1.196694e+00
81            	-2.837887e+00	-1.755370e+01	-8.061425e+00	-6.868599e+00	-1.192825e+00
82            	-2.841561e+00	-1.747257e+01	-8.061109e+00	-6.872115e+00	-1.188993e+00
83            	-2.845222e+00	-1.739215e+01	-8.060835e+00	-6.875639e+00	-1.185195e+00
84            	-2.848956e+00	-1.731243e+01	-8.060694e+00	-6.879303e+00	-1.181391e+00
85            	-2.852669e+00	-1.723341e+01	-8.060576e+00	-6.882957e+00	-1.177619e+00
86            	-2.856352e+00	-1.715507e+01	-8.060480e+00	-6.886592e+00	-1.173889e+00
87            	-2.859999e+00	-1.707742e+01	-8.060374e+00	-6.890186e+00	-1.170188e+00
88            	-2.863637e+00	-1.700043e+01	-8.060290e+00	-6.893782e+00	-1.166508e+00
89            	-2.867345e+00	-1.692412e+01	-8.060229e+00	-6.897460e+00	-1.162769e+00
90            	-2.871152e+00	-1.684846e+01	-8.060282e+00	-6.901293e+00	-1.158989e+00
91            	-2.874961e+00	-1.677346e+01	-8.060390e+00	-6.905156e+00	-1.155234e+00
92            	-2.878783e+00	-1.669910e+01	-8.060520e+00	-6.909043e+00	-1.151477e+00
93            	-2.882608e+00	-1.662538e+01	-8.060680e+00	-6.912948e+00	-1.147732e+00
94            	-2.886389e+00	-1.655230e+01	-8.060828e+00	-6.916803e+00	-1.144025e+00
95            	-2.890443e+00	-1.647984e+01	-8.061317e+00	-6.921101e+00	-1.140216e+00
96            	-2.895030e+00	-1.640801e+01	-8.062376e+00	-6.926218e+00	-1.136159e+00
97            	-2.899794e+00	-1.633679e+01	-8.063640e+00	-6.931614e+00	-1.132026e+00
98            	-2.904619e+00	-1.626618e+01	-8.064976e+00	-6.937107e+00	-1.127870e+00
99            	-2.909606e+00	-1.619617e+01	-8.066494e+00	-6.942853e+00	-1.123641e+00
100           	-2.914553e+00	-1.612675e+01	-8.068013e+00	-6.948560e+00	-1.119453e+00
101           	-2.919581e+00	-1.605793e+01	-8.069657e+00	-6.954410e+00	-1.115248e+00
102           	-2.925061e+00	-1.598969e+01	-8.071821e+00	-6.960972e+00	-1.110849e+00
103           	-2.930721e+00	-1.592203e+01	-8.074210e+00	-6.967826e+00	-1.106384e+00
104           	-2.936433e+00	-1.585494e+01	-8.076691e+00	-6.974779e+00	-1.101912e+00
105           	-2.942197e+00	-1.578842e+01	-8.079267e+00	-6.981830e+00	-1.097437e+00
106           	-2.947974e+00	-1.572247e+01	-8.081904e+00	-6.988927e+00	-1.092978e+00
107           	-2.953664e+00	-1.565706e+01	-8.084462e+00	-6.995895e+00	-1.088567e+00
108           	-2.959176e+00	-1.559221e+01	-8.086778e+00	-7.002565e+00	-1.084213e+00
109           	-2.964522e+00	-1.552790e+01	-8.088930e+00	-7.008987e+00	-1.079943e+00
110           	-2.969734e+00	-1.546414e+01	-8.090888e+00	-7.015178e+00	-1.075709e+00
