z,U_0,U_1,U_2
0,-5.16121e-18,0,-1.50645e-21
0.000676768,0.0725124,0,-2.60914e-07
0.00135354,0.143015,0,-9.58605e-07
0.0020303,0.211496,0,-2.14598e-06
0.00270707,0.277944,0,-3.7996e-06
0.00338384,0.342343,0,-5.89995e-06
0.00406061,0.404682,0,-8.42625e-06
0.00473737,0.464949,0,-1.13532e-05
0.00541414,0.523132,0,-1.4651e-05
0.00609091,0.57922,0,-1.82852e-05
0.00676768,0.633204,0,-2.22181e-05
0.00744444,0.685075,0,-2.6409e-05
0.00812121,0.734824,0,-3.08143e-05
0.00879798,0.782446,0,-3.53887e-05
0.00947475,0.827934,0,-4.00855e-05
0.0101515,0.871283,0,-4.48569e-05
0.0108283,0.91249,0,-4.96548e-05
0.0115051,0.951553,0,-5.44318e-05
0.0121818,0.988469,0,-5.91407e-05
0.0128586,1.02324,0,-6.3736e-05
0.0135354,1.05586,0,-6.81743e-05
0.0142121,1.08634,0,-7.2414e-05
0.0148889,1.11467,0,-7.64168e-05
0.0155657,1.14086,0,-8.01475e-05
0.0162424,1.16491,0,-8.35745e-05
0.0169192,1.18682,0,-8.66702e-05
0.017596,1.20659,0,-8.9411e-05
0.0182727,1.22423,0,-9.17779e-05
0.0189495,1.23972,0,-9.37558e-05
0.0196263,1.25303,0,-9.53338e-05
0.020303,1.26416,0,-9.65051e-05
0.0209798,1.27306,0,-9.72653e-05
0.0216566,1.27975,0,-9.76163e-05
0.0223333,1.28439,0,-9.7584e-05
0.0230101,1.28735,0,-9.72507e-05
0.0236869,1.28916,0,-9.67514e-05
0.0243636,1.29033,0,-9.61924e-05
0.0250404,1.29122,0,-9.55977e-05
0.0257172,1.29202,0,-9.49728e-05
0.0263939,1.29274,0,-9.43391e-05
0.0270707,1.2934,0,-9.37025e-05
0.0277475,1.29399,0,-9.3058e-05
0.0284242,1.29452,0,-9.24039e-05
0.029101,1.29498,0,-9.17406e-05
0.0297778,1.29537,0,-9.10686e-05
0.0304545,1.2957,0,-9.03857e-05
0.0311313,1.29596,0,-8.96824e-05
0.0318081,1.29615,0,-8.89528e-05
0.0324848,1.29628,0,-8.82846e-05
0.0331616,1.29634,0,-8.78441e-05
0.0338384,1.23281,0,-8.67e-05
0.0345152,1.0446,0,-6.69901e-05
0.0351919,0.808605,0,-1.2626e-05
0.0358687,0.599303,0,6.62804e-05
0.0365455,0.424617,0,0.000156296
0.0372222,0.287322,0,0.000241729
0.037899,0.185603,0,0.000310485
0.0385758,0.114456,0,0.000358903
0.0392525,0.0673923,0,0.000388199
0.0399293,0.0378934,0,0.000403334
0.0406061,0.020346,0,0.000409147
0.0412828,0.0104257,0,0.000409403
0.0419596,0.00508894,0,0.000406606
0.0426364,0.00235407,0,0.000402253
0.0433131,0.00101801,0,0.00039717
0.0439899,0.000395656,0,0.000391785
0.0446667,0.000119588,0,0.000386308
0.0453434,3.54824e-06,0,0.000380836
0.0460202,-4.1956e-05,0,0.000375413
0.046697,-5.77879e-05,0,0.000370058
0.0473737,-6.17166e-05,0,0.000364779
0.0480505,-6.11146e-05,0,0.000359579
0.0487273,-5.89051e-05,0,0.000354457
0.049404,-5.61963e-05,0,0.000349413
0.0500808,-5.33898e-05,0,0.000344448
0.0507576,-5.06232e-05,0,0.000339561
0.0514343,-4.79405e-05,0,0.00033475
0.0521111,-4.53532e-05,0,0.000330016
0.0527879,-4.28626e-05,0,0.000325357
0.0534646,-4.04666e-05,0,0.000320772
0.0541414,-3.81622e-05,0,0.000316262
0.0548182,-3.59462e-05,0,0.000311825
0.0554949,-3.38156e-05,0,0.00030746
0.0561717,-3.17674e-05,0,0.000303166
0.0568485,-2.97986e-05,0,0.000298943
0.0575253,-2.79067e-05,0,0.00029479
0.058202,-2.60893e-05,0,0.000290705
0.0588788,-2.43441e-05,0,0.000286689
0.0595556,-2.26697e-05,0,0.000282739
0.0602323,-2.1065e-05,0,0.000278855
0.0609091,-1.953e-05,0,0.000275036
0.0615859,-1.80658e-05,0,0.000271283
0.0622626,-1.66744e-05,0,0.000267594
0.0629394,-1.53587e-05,0,0.000263968
0.0636162,-1.41224e-05,0,0.000260404
0.0642929,-1.29682e-05,0,0.000256902
0.0649697,-1.18965e-05,0,0.000253458
0.0656465,-1.09041e-05,0,0.000250066
0.0663232,-9.98461e-06,0,0.00024673
0.067,-6.39531e-06,0,0.000232615
