z,U_0,U_1,U_2
0,-2.11437e-17,0,-8.17191e-21
0.00136735,0.14152,0,-2.81797e-06
0.00273469,0.274795,0,-1.045e-05
0.00410204,0.399768,0,-2.30793e-05
0.00546939,0.516367,0,-4.00221e-05
0.00683673,0.624526,0,-6.06603e-05
0.00820408,0.724191,0,-8.42677e-05
0.00957143,0.815318,0,-0.000110024
0.0109388,0.897875,0,-0.000137048
0.0123061,0.971838,0,-0.000164435
0.0136735,1.03719,0,-0.000191284
0.0150408,1.09389,0,-0.00021673
0.0164082,1.14183,0,-0.000239955
0.0177755,1.18075,0,-0.000260066
0.0191429,1.21004,0,-0.000275887
0.0205102,1.22919,0,-0.000286498
0.0218776,1.23896,0,-0.000292851
0.0232449,1.24241,0,-0.000297132
0.0246122,1.24318,0,-0.00030016
0.0259796,1.24332,0,-0.000302147
0.0273469,1.24337,0,-0.000303911
0.0287143,1.2434,0,-0.000305873
0.0300816,1.24343,0,-0.000307869
0.031449,1.24344,0,-0.000309607
0.0328163,1.24345,0,-0.000310765
0.0341837,1.12615,0,-0.000313297
0.035551,0.795864,0,-0.000157099
0.0369184,0.441385,0,0.000195165
0.0382857,0.211125,0,0.000501677
0.0396531,0.0876787,0,0.000668935
0.0410204,0.032038,0,0.000719745
0.0423878,0.0105556,0,0.000721143
0.0437551,0.00333592,0,0.000700864
0.0451224,0.00119532,0,0.000679539
0.0464898,0.00062783,0,0.000654507
0.0478571,0.000490737,0,0.000632978
0.0492245,0.000458508,0,0.000609475
0.0505918,0.000449364,0,0.000588907
0.0519592,0.000444601,0,0.000567122
0.0533265,0.000440576,0,0.000547466
0.0546939,0.000436489,0,0.000527257
0.0560612,0.000432315,0,0.000508531
0.0574286,0.000427985,0,0.000489706
0.0587959,0.000423551,0,0.000471949
0.0601633,0.000418996,0,0.000454338
0.0615306,0.000414341,0,0.000437549
0.062898,0.000409579,0,0.000421035
0.0642653,0.000404727,0,0.000405178
0.0656327,0.000399831,0,0.00038966
0.067,0.000388082,0,0.000351154
