# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-3.631416e+00	-2.141771e+02	-1.089421e+01	-9.078522e+00	-1.815691e+00
1             	-7.366860e+02	-1.723294e+02	-1.103589e+01	-7.422039e+02	7.311680e+02
2             	2.950383e+02	-1.317689e+02	-8.038554e+00	2.910191e+02	-2.990576e+02
3             	2.077395e+02	-1.050834e+02	-7.416015e+00	2.040315e+02	-2.114475e+02
4             	1.586257e+02	-8.709988e+01	-7.148375e+00	1.550515e+02	-1.621999e+02
5             	1.230103e+02	-7.462398e+01	-6.235981e+00	1.198923e+02	-1.261283e+02
6             	9.726323e+01	-6.569402e+01	-5.451247e+00	9.453760e+01	-9.998885e+01
7             	7.848690e+01	-5.909161e+01	-5.195837e+00	7.588898e+01	-8.108482e+01
8             	6.290305e+01	-5.405443e+01	-4.684899e+00	6.056060e+01	-6.524549e+01
9             	5.265865e+01	-5.009663e+01	-4.531672e+00	5.039281e+01	-5.492449e+01
10            	4.538363e+01	-4.689910e+01	-4.407303e+00	4.317998e+01	-4.758728e+01
11            	3.857674e+01	-4.425702e+01	-4.486829e+00	3.633333e+01	-4.082016e+01
12            	3.313174e+01	-4.203121e+01	-4.824458e+00	3.071951e+01	-3.554397e+01
13            	2.943479e+01	-4.012143e+01	-5.320220e+00	2.677468e+01	-3.209490e+01
14            	2.677768e+01	-3.845859e+01	-4.689807e+00	2.443277e+01	-2.912258e+01
15            	2.376388e+01	-3.699476e+01	-4.860941e+00	2.133341e+01	-2.619435e+01
16            	2.106453e+01	-3.569357e+01	-4.850984e+00	1.863904e+01	-2.349003e+01
17            	1.896156e+01	-3.452569e+01	-5.383083e+00	1.627001e+01	-2.165310e+01
18            	1.788479e+01	-3.346786e+01	-5.458748e+00	1.515542e+01	-2.061416e+01
19            	1.718758e+01	-3.250373e+01	-5.100293e+00	1.463743e+01	-1.973773e+01
20            	1.628354e+01	-3.162090e+01	-4.862462e+00	1.385231e+01	-1.871477e+01
21            	1.519811e+01	-3.080854e+01	-5.361992e+00	1.251711e+01	-1.787911e+01
22            	1.447655e+01	-3.005715e+01	-5.620324e+00	1.166639e+01	-1.728672e+01
23            	1.405427e+01	-2.935914e+01	-5.502873e+00	1.130284e+01	-1.680571e+01
24            	1.371608e+01	-2.870866e+01	-5.195569e+00	1.111830e+01	-1.631387e+01
25            	1.321829e+01	-2.810104e+01	-5.098081e+00	1.066925e+01	-1.576733e+01
26            	1.276749e+01	-2.753145e+01	-5.094020e+00	1.022048e+01	-1.531450e+01
27            	1.264129e+01	-2.699553e+01	-4.911102e+00	1.018574e+01	-1.509684e+01
28            	1.251884e+01	-2.649010e+01	-4.773503e+00	1.013209e+01	-1.490559e+01
29            	1.238921e+01	-2.601268e+01	-4.507645e+00	1.013538e+01	-1.464303e+01
30            	1.213986e+01	-2.556083e+01	-4.659632e+00	9.810045e+00	-1.446968e+01
31            	1.184885e+01	-2.513251e+01	-4.674670e+00	9.511518e+00	-1.418619e+01
32            	1.167476e+01	-2.472549e+01	-4.513237e+00	9.418138e+00	-1.393137e+01
33            	1.161671e+01	-2.433777e+01	-4.402945e+00	9.415242e+00	-1.381819e+01
34            	1.160643e+01	-2.396799e+01	-4.207428e+00	9.502721e+00	-1.371015e+01
35            	1.149908e+01	-2.361494e+01	-4.121840e+00	9.438162e+00	-1.356000e+01
36            	1.131312e+01	-2.327752e+01	-4.120803e+00	9.252721e+00	-1.337352e+01
37            	1.117175e+01	-2.295459e+01	-3.979111e+00	9.182191e+00	-1.316130e+01
38            	1.114485e+01	-2.264492e+01	-3.738363e+00	9.275672e+00	-1.301404e+01
39            	1.110296e+01	-2.234768e+01	-3.559710e+00	9.323106e+00	-1.288282e+01
40            	1.088159e+01	-2.206220e+01	-3.620759e+00	9.071211e+00	-1.269197e+01
41            	1.067181e+01	-2.178769e+01	-3.667007e+00	8.838302e+00	-1.250531e+01
42            	1.049490e+01	-2.152344e+01	-3.685034e+00	8.652385e+00	-1.233742e+01
43            	1.038039e+01	-2.126870e+01	-3.652802e+00	8.553988e+00	-1.220679e+01
44            	1.030930e+01	-2.102300e+01	-3.551770e+00	8.533419e+00	-1.208519e+01
45            	1.019379e+01	-2.078589e+01	-3.494406e+00	8.446582e+00	-1.194099e+01
46            	1.007185e+01	-2.055686e+01	-3.454873e+00	8.344411e+00	-1.179928e+01
47            	9.977577e+00	-2.033544e+01	-3.373412e+00	8.290871e+00	-1.166428e+01
48            	9.929936e+00	-2.012117e+01	-3.228264e+00	8.315804e+00	-1.154407e+01
49            	9.880238e+00	-1.991371e+01	-3.098096e+00	8.331190e+00	-1.142929e+01
50            	9.788249e+00	-1.971274e+01	-3.042598e+00	8.266950e+00	-1.130955e+01
51            	9.683225e+00	-1.951793e+01	-3.012731e+00	8.176859e+00	-1.118959e+01
52            	9.609791e+00	-1.932891e+01	-2.960997e+00	8.129292e+00	-1.109029e+01
53            	9.560660e+00	-1.914536e+01	-2.912136e+00	8.104591e+00	-1.101673e+01
54            	9.620877e+00	-1.896705e+01	-2.638974e+00	8.301390e+00	-1.094036e+01
55            	9.544945e+00	-1.879373e+01	-2.657121e+00	8.216385e+00	-1.087351e+01
56            	9.302656e+00	-1.862517e+01	-3.026476e+00	7.789418e+00	-1.081589e+01
57            	9.191590e+00	-1.846118e+01	-3.110766e+00	7.636207e+00	-1.074697e+01
58            	9.140876e+00	-1.830146e+01	-3.125073e+00	7.578340e+00	-1.070341e+01
59            	9.124306e+00	-1.814582e+01	-3.108676e+00	7.569968e+00	-1.067864e+01
60            	9.069289e+00	-1.799415e+01	-3.152569e+00	7.493004e+00	-1.064557e+01
61            	8.961581e+00	-1.784632e+01	-3.268950e+00	7.327106e+00	-1.059606e+01
62            	8.925488e+00	-1.770235e+01	-3.009367e+00	7.420804e+00	-1.043017e+01
63            	8.831629e+00	-1.756185e+01	-3.098708e+00	7.282275e+00	-1.038098e+01
64            	8.780197e+00	-1.742466e+01	-3.123076e+00	7.218659e+00	-1.034173e+01
65            	8.752727e+00	-1.729067e+01	-3.103141e+00	7.201156e+00	-1.030430e+01
66            	8.676791e+00	-1.715981e+01	-3.153591e+00	7.099996e+00	-1.025359e+01
67            	8.565423e+00	-1.703197e+01	-3.253697e+00	6.938575e+00	-1.019227e+01
68            	8.464712e+00	-1.690704e+01	-3.340641e+00	6.794391e+00	-1.013503e+01
69            	8.391032e+00	-1.678487e+01	-3.397709e+00	6.692177e+00	-1.008989e+01
70            	8.327892e+00	-1.666535e+01	-3.458927e+00	6.598429e+00	-1.005736e+01
71            	8.242524e+00	-1.654838e+01	-3.570122e+00	6.457463e+00	-1.002758e+01
72            	8.143040e+00	-1.643389e+01	-3.703420e+00	6.291329e+00	-9.994750e+00
73            	8.077128e+00	-1.632179e+01	-3.700507e+00	6.226874e+00	-9.927382e+00
74            	8.006414e+00	-1.621203e+01	-3.779324e+00	6.116751e+00	-9.896076e+00
75            	7.941852e+00	-1.610449e+01	-3.847624e+00	6.018040e+00	-9.865665e+00
76            	7.869113e+00	-1.599907e+01	-3.959556e+00	5.889335e+00	-9.848891e+00
77            	7.798115e+00	-1.589568e+01	-4.083186e+00	5.756522e+00	-9.839708e+00
