z,p_rgh,alpha.concrete,nu1
0,-168.04,1,0.00333795
0.00016792,-168.04,1,0.00357768
0.00033584,-168.04,1,0.00391534
0.000503759,-168.04,1,0.00445308
0.000671679,-168.04,1,0.00535706
0.000839599,-168.04,1,0.00694841
0.00100752,-168.04,1,0.00987013
0.00117544,-168.039,1,0.0153215
0.00134336,-168.04,1,0.0249473
0.00151128,-168.04,1,0.0387136
0.0016792,-168.04,1,0.0497424
0.00184712,-168.04,1,0.053083
0.00201504,-168.04,1,0.053083
0.00218296,-168.04,1,0.053083
0.00235088,-168.04,1,0.053083
0.0025188,-168.041,1,0.053083
0.00268672,-168.041,1,0.053083
0.00285464,-168.041,1,0.053083
0.00302256,-168.041,1,0.053083
0.00319048,-168.041,1,0.053083
0.0033584,-168.041,1,0.053083
0.00352632,-168.041,1,0.053083
0.00369424,-168.041,1,0.053083
0.00386216,-168.042,1,0.053083
0.00403008,-168.042,1,0.053083
0.00419799,-168.042,1,0.053083
0.00436591,-168.042,1,0.053083
0.00453383,-168.042,1,0.053083
0.00470175,-168.043,1,0.053083
0.00486967,-168.043,1,0.053083
0.00503759,-168.043,1,0.053083
0.00520551,-168.043,1,0.053083
0.00537343,-168.044,1,0.053083
0.00554135,-168.044,1,0.053083
0.00570927,-168.044,1,0.053083
0.00587719,-168.044,1,0.053083
0.00604511,-168.045,1,0.053083
0.00621303,-168.045,1,0.053083
0.00638095,-168.045,1,0.053083
0.00654887,-168.046,1,0.053083
0.00671679,-168.046,1,0.053083
0.00688471,-168.046,1,0.053083
0.00705263,-168.046,1,0.053083
0.00722055,-168.047,1,0.053083
0.00738847,-168.047,1,0.053083
0.00755639,-168.047,1,0.053083
0.00772431,-168.047,1,0.053083
0.00789223,-168.048,1,0.053083
0.00806015,-168.048,1,0.053083
0.00822807,-168.048,1,0.053083
0.00839599,-168.049,1,0.053083
0.00856391,-168.049,1,0.053083
0.00873183,-168.049,1,0.053083
0.00889975,-168.05,1,0.053083
0.00906767,-168.05,1,0.053083
0.00923559,-168.05,1,0.053083
0.00940351,-168.051,1,0.053083
0.00957143,-168.051,1,0.053083
0.00973935,-168.052,1,0.053083
0.00990727,-168.052,1,0.053083
0.0100752,-168.052,1,0.053083
0.0102431,-168.053,1,0.053083
0.010411,-168.053,1,0.053083
0.0105789,-168.053,1,0.053083
0.0107469,-168.054,1,0.053083
0.0109148,-168.054,1,0.053083
0.0110827,-168.055,1,0.053083
0.0112506,-168.055,1,0.053083
0.0114185,-168.056,1,0.053083
0.0115865,-168.056,1,0.053083
0.0117544,-168.056,1,0.053083
0.0119223,-168.057,1,0.053083
0.0120902,-168.057,1,0.053083
0.0122581,-168.058,1,0.053083
0.0124261,-168.058,1,0.053083
0.012594,-168.059,1,0.053083
0.0127619,-168.059,1,0.053083
0.0129298,-168.06,1,0.053083
0.0130977,-168.06,1,0.053083
0.0132657,-168.06,1,0.053083
0.0134336,-168.061,1,0.053083
0.0136015,-168.061,1,0.053083
0.0137694,-168.062,1,0.053083
0.0139373,-168.062,1,0.053083
0.0141053,-168.063,1,0.053083
0.0142732,-168.063,1,0.053083
0.0144411,-168.064,1,0.053083
0.014609,-168.064,1,0.053083
0.0147769,-168.064,1,0.053083
0.0149449,-168.065,1,0.053083
0.0151128,-168.065,1,0.053083
0.0152807,-168.066,1,0.053083
0.0154486,-168.067,1,0.053083
0.0156165,-168.067,1,0.053083
0.0157845,-168.068,1,0.053083
0.0159524,-168.068,1,0.053083
0.0161203,-168.069,1,0.053083
0.0162882,-168.069,1,0.053083
0.0164561,-168.07,1,0.053083
0.0166241,-168.07,1,0.053083
0.016792,-168.071,1,0.053083
0.0169599,-168.071,1,0.053083
0.0171278,-168.072,1,0.053083
0.0172957,-168.072,1,0.053083
0.0174637,-168.073,1,0.053083
0.0176316,-168.073,1,0.053083
0.0177995,-168.074,1,0.053083
0.0179674,-168.075,1,0.053083
0.0181353,-168.075,1,0.053083
0.0183033,-168.076,1,0.053083
0.0184712,-168.076,1,0.053083
0.0186391,-168.077,1,0.053083
0.018807,-168.077,1,0.053083
0.0189749,-168.078,1,0.053083
0.0191429,-168.079,1,0.053083
0.0193108,-168.079,1,0.053083
0.0194787,-168.08,1,0.053083
0.0196466,-168.08,1,0.053083
0.0198145,-168.081,1,0.053083
0.0199825,-168.081,1,0.053083
0.0201504,-168.082,1,0.053083
0.0203183,-168.083,1,0.053083
0.0204862,-168.083,1,0.053083
0.0206541,-168.084,1,0.053083
0.0208221,-168.084,1,0.053083
0.02099,-168.085,1,0.053083
0.0211579,-168.086,1,0.053083
0.0213258,-168.086,1,0.053083
0.0214937,-168.087,1,0.053083
0.0216617,-168.087,1,0.053083
0.0218296,-168.088,1,0.053083
0.0219975,-168.089,1,0.053083
0.0221654,-168.089,1,0.053083
0.0223333,-168.09,1,0.053083
0.0225013,-168.091,1,0.053083
0.0226692,-168.091,1,0.053083
0.0228371,-168.092,1,0.053083
0.023005,-168.092,1,0.053083
0.0231729,-168.093,1,0.053083
0.0233409,-168.094,1,0.053083
0.0235088,-168.094,1,0.053083
0.0236767,-168.095,1,0.053083
0.0238446,-168.096,1,0.053083
0.0240125,-168.096,1,0.053083
0.0241805,-168.097,1,0.053083
0.0243484,-168.098,1,0.053083
0.0245163,-168.098,1,0.053083
0.0246842,-168.099,1,0.053083
0.0248521,-168.099,1,0.053083
0.0250201,-168.1,1,0.053083
0.025188,-168.101,1,0.053083
0.0253559,-168.101,1,0.053083
0.0255238,-168.102,1,0.053083
0.0256917,-168.103,1,0.053083
0.0258596,-168.104,1,0.053083
0.0260276,-168.104,1,0.053083
0.0261955,-168.105,1,0.053083
0.0263634,-168.106,1,0.053083
0.0265313,-168.106,1,0.053083
0.0266992,-168.107,1,0.053083
0.0268672,-168.107,1,0.053083
0.0270351,-168.108,1,0.053083
0.027203,-168.109,1,0.053083
0.0273709,-168.109,1,0.053083
0.0275388,-168.11,1,0.053083
0.0277068,-168.111,1,0.053083
0.0278747,-168.112,1,0.053083
0.0280426,-168.112,1,0.053083
0.0282105,-168.113,1,0.053083
0.0283784,-168.114,1,0.053083
0.0285464,-168.114,1,0.053083
0.0287143,-168.115,1,0.053083
0.0288822,-168.116,1,0.053083
0.0290501,-168.116,1,0.053083
0.029218,-168.117,1,0.053083
0.029386,-168.118,1,0.053083
0.0295539,-168.118,1,0.053083
0.0297218,-168.119,1,0.053083
0.0298897,-168.12,1,0.053083
0.0300576,-168.12,1,0.053083
0.0302256,-168.121,1,0.053083
0.0303935,-168.122,1,0.053083
0.0305614,-168.122,1,0.053083
0.0307293,-168.123,1,0.053083
0.0308972,-168.124,1,0.053083
0.0310652,-168.124,1,0.053083
0.0312331,-168.125,1,0.053083
0.031401,-168.126,1,0.053083
0.0315689,-168.126,1,0.053083
0.0317368,-168.127,1,0.053083
0.0319048,-168.128,1,0.053083
0.0320727,-168.128,1,0.053083
0.0322406,-168.129,1,0.053083
0.0324085,-168.13,1,0.053083
0.0325764,-168.13,1,0.053083
0.0327444,-168.131,1,0.053083
0.0329123,-168.132,1,0.053083
0.0330802,-168.133,1,0.053083
0.0332481,-168.133,1,0.053083
0.033416,-126.205,0.750627,0.0403667
0.033584,-41.928,0.249373,0.0147071
0.0337519,-3.16774e-06,0,0.00239491
0.0339198,-3.1676e-06,0,0.00707507
0.0340877,-3.1653e-06,0,0.0236207
0.0342556,-3.1632e-06,0,0.0445657
0.0344236,-3.16131e-06,0,0.053083
0.0345915,-3.15963e-06,0,0.053083
0.0347594,-3.15815e-06,0,0.053083
0.0349273,-3.15686e-06,0,0.053083
0.0350952,-3.15575e-06,0,0.053083
0.0352632,-3.15482e-06,0,0.053083
0.0354311,-3.15405e-06,0,0.053083
0.035599,-3.15342e-06,0,0.053083
0.0357669,-3.15294e-06,0,0.053083
0.0359348,-3.15257e-06,0,0.053083
0.0361028,-3.15233e-06,0,0.053083
0.0362707,-3.15219e-06,0,0.053083
0.0364386,-3.15215e-06,0,0.053083
0.0366065,-3.15219e-06,0,0.053083
0.0367744,-3.15231e-06,0,0.053083
0.0369424,-3.1525e-06,0,0.053083
0.0371103,-3.15275e-06,0,0.053083
0.0372782,-3.15305e-06,0,0.053083
0.0374461,-3.1534e-06,0,0.053083
0.037614,-3.15379e-06,0,0.053083
0.037782,-3.15421e-06,0,0.053083
0.0379499,-3.15466e-06,0,0.053083
0.0381178,-3.15513e-06,0,0.053083
0.0382857,-3.15562e-06,0,0.053083
0.0384536,-3.15613e-06,0,0.053083
0.0386216,-3.15664e-06,0,0.053083
0.0387895,-3.15716e-06,0,0.053083
0.0389574,-3.15768e-06,0,0.053083
0.0391253,-3.15821e-06,0,0.053083
0.0392932,-3.15873e-06,0,0.053083
0.0394612,-3.15925e-06,0,0.053083
0.0396291,-3.15976e-06,0,0.053083
0.039797,-3.16027e-06,0,0.053083
0.0399649,-3.16076e-06,0,0.053083
0.0401328,-3.16125e-06,0,0.053083
0.0403008,-3.16172e-06,0,0.053083
0.0404687,-3.16218e-06,0,0.053083
0.0406366,-3.16263e-06,0,0.053083
0.0408045,-3.16306e-06,0,0.053083
0.0409724,-3.16348e-06,0,0.053083
0.0411404,-3.16387e-06,0,0.053083
0.0413083,-3.16426e-06,0,0.053083
0.0414762,-3.16462e-06,0,0.053083
0.0416441,-3.16497e-06,0,0.053083
0.041812,-3.16529e-06,0,0.053083
0.0419799,-3.1656e-06,0,0.053083
0.0421479,-3.1659e-06,0,0.053083
0.0423158,-3.16617e-06,0,0.053083
0.0424837,-3.16642e-06,0,0.053083
0.0426516,-3.16665e-06,0,0.053083
0.0428195,-3.16687e-06,0,0.053083
0.0429875,-3.16706e-06,0,0.053083
0.0431554,-3.16723e-06,0,0.053083
0.0433233,-3.16739e-06,0,0.053083
0.0434912,-3.16752e-06,0,0.053083
0.0436591,-3.16763e-06,0,0.053083
0.0438271,-3.16772e-06,0,0.053083
0.043995,-3.16778e-06,0,0.053083
0.0441629,-3.16783e-06,0,0.053083
0.0443308,-3.16785e-06,0,0.053083
0.0444987,-3.16786e-06,0,0.053083
0.0446667,-3.16784e-06,0,0.053083
0.0448346,-3.16779e-06,0,0.053083
0.0450025,-3.16773e-06,0,0.053083
0.0451704,-3.16764e-06,0,0.053083
0.0453383,-3.16752e-06,0,0.053083
0.0455063,-3.16738e-06,0,0.053083
0.0456742,-3.16722e-06,0,0.053083
0.0458421,-3.16704e-06,0,0.053083
0.04601,-3.16683e-06,0,0.053083
0.0461779,-3.1666e-06,0,0.053083
0.0463459,-3.16633e-06,0,0.053083
0.0465138,-3.16605e-06,0,0.053083
0.0466817,-3.16573e-06,0,0.053083
0.0468496,-3.16539e-06,0,0.053083
0.0470175,-3.16502e-06,0,0.053083
0.0471855,-3.16463e-06,0,0.053083
0.0473534,-3.16421e-06,0,0.053083
0.0475213,-3.16376e-06,0,0.053083
0.0476892,-3.16327e-06,0,0.053083
0.0478571,-3.16276e-06,0,0.053083
0.0480251,-3.16223e-06,0,0.053083
0.048193,-3.16166e-06,0,0.053083
0.0483609,-3.16106e-06,0,0.053083
0.0485288,-3.16043e-06,0,0.053083
0.0486967,-3.15976e-06,0,0.053083
0.0488647,-3.15907e-06,0,0.053083
0.0490326,-3.15835e-06,0,0.053083
0.0492005,-3.15759e-06,0,0.053083
0.0493684,-3.1568e-06,0,0.053083
0.0495363,-3.15597e-06,0,0.053083
0.0497043,-3.15511e-06,0,0.053083
0.0498722,-3.15422e-06,0,0.053083
0.0500401,-3.15329e-06,0,0.053083
0.050208,-3.15232e-06,0,0.053083
0.0503759,-3.15132e-06,0,0.053083
0.0505439,-3.15028e-06,0,0.053083
0.0507118,-3.14921e-06,0,0.053083
0.0508797,-3.1481e-06,0,0.053083
0.0510476,-3.14695e-06,0,0.053083
0.0512155,-3.14576e-06,0,0.053083
0.0513835,-3.14453e-06,0,0.053083
0.0515514,-3.14327e-06,0,0.053083
0.0517193,-3.14196e-06,0,0.053083
0.0518872,-3.14061e-06,0,0.053083
0.0520551,-3.13922e-06,0,0.053083
0.0522231,-3.1378e-06,0,0.053083
0.052391,-3.13633e-06,0,0.053083
0.0525589,-3.13481e-06,0,0.053083
0.0527268,-3.13326e-06,0,0.053083
0.0528947,-3.13166e-06,0,0.053083
