z,p_rgh,alpha.concrete,nu1
0,-168.371,1,0.0042327
0.000336683,-168.371,1,0.0049383
0.000673367,-168.371,1,0.00598175
0.00101005,-168.371,1,0.0077482
0.00134673,-168.371,1,0.0110057
0.00168342,-168.37,1,0.0174679
0.0020201,-168.37,1,0.0310938
0.00235678,-168.37,1,0.0607257
0.00269347,-168.37,1,0.123365
0.00303015,-168.369,1,0.240366
0.00336683,-168.367,1,0.406688
0.00370352,-168.365,1,0.540808
0.0040402,-168.363,1,0.58333
0.00437688,-168.36,1,0.58333
0.00471357,-168.357,1,0.58333
0.00505025,-168.355,1,0.58333
0.00538693,-168.352,1,0.58333
0.00572362,-168.349,1,0.58333
0.0060603,-168.347,1,0.58333
0.00639698,-168.344,1,0.58333
0.00673367,-168.342,1,0.58333
0.00707035,-168.339,1,0.58333
0.00740704,-168.336,1,0.58333
0.00774372,-168.334,1,0.58333
0.0080804,-168.331,1,0.58333
0.00841709,-168.329,1,0.58333
0.00875377,-168.326,1,0.58333
0.00909045,-168.324,1,0.58333
0.00942714,-168.321,1,0.58333
0.00976382,-168.318,1,0.58333
0.0101005,-168.316,1,0.58333
0.0104372,-168.313,1,0.58333
0.0107739,-168.311,1,0.58333
0.0111106,-168.308,1,0.58333
0.0114472,-168.306,1,0.58333
0.0117839,-168.303,1,0.58333
0.0121206,-168.301,1,0.58333
0.0124573,-168.298,1,0.58333
0.012794,-168.295,1,0.58333
0.0131307,-168.293,1,0.58333
0.0134673,-168.29,1,0.58333
0.013804,-168.288,1,0.58333
0.0141407,-168.285,1,0.58333
0.0144774,-168.283,1,0.58333
0.0148141,-168.28,1,0.58333
0.0151508,-168.277,1,0.58333
0.0154874,-168.275,1,0.58333
0.0158241,-168.272,1,0.58333
0.0161608,-168.27,1,0.58333
0.0164975,-168.267,1,0.58333
0.0168342,-168.265,1,0.58333
0.0171709,-168.262,1,0.58333
0.0175075,-168.26,1,0.58333
0.0178442,-168.257,1,0.58333
0.0181809,-168.254,1,0.58333
0.0185176,-168.252,1,0.58333
0.0188543,-168.249,1,0.58333
0.019191,-168.247,1,0.58333
0.0195276,-168.244,1,0.58333
0.0198643,-168.242,1,0.58333
0.020201,-168.239,1,0.58333
0.0205377,-168.236,1,0.58333
0.0208744,-168.234,1,0.58333
0.0212111,-168.231,1,0.58333
0.0215477,-168.229,1,0.58333
0.0218844,-168.226,1,0.58333
0.0222211,-168.223,1,0.58333
0.0225578,-168.221,1,0.58333
0.0228945,-168.218,1,0.58333
0.0232312,-168.216,1,0.58333
0.0235678,-168.213,1,0.58333
0.0239045,-168.211,1,0.58333
0.0242412,-168.208,1,0.58333
0.0245779,-168.205,1,0.58333
0.0249146,-168.203,1,0.58333
0.0252513,-168.2,1,0.58333
0.0255879,-168.198,1,0.58333
0.0259246,-168.195,1,0.58333
0.0262613,-168.193,1,0.58333
0.026598,-168.19,1,0.58333
