z,p_rgh,alpha.concrete,nu1
0,-169.072,1,0.00082701
0.00016792,-169.072,1,0.000828722
0.00033584,-169.073,1,0.000830457
0.000503759,-169.073,1,0.000832219
0.000671679,-169.073,1,0.000834011
0.000839599,-169.073,1,0.000835833
0.00100752,-169.074,1,0.000837684
0.00117544,-169.074,1,0.000839566
0.00134336,-169.074,1,0.00084148
0.00151128,-169.075,1,0.000843426
0.0016792,-169.075,1,0.000845406
0.00184712,-169.075,1,0.00084742
0.00201504,-169.076,1,0.000849469
0.00218296,-169.076,1,0.000851553
0.00235088,-169.076,1,0.000853675
0.0025188,-169.077,1,0.000855833
0.00268672,-169.077,1,0.000858031
0.00285464,-169.078,1,0.000860269
0.00302256,-169.078,1,0.000862547
0.00319048,-169.078,1,0.000864867
0.0033584,-169.079,1,0.00086723
0.00352632,-169.079,1,0.000869637
0.00369424,-169.08,1,0.00087209
0.00386216,-169.08,1,0.000874589
0.00403008,-169.081,1,0.000877135
0.00419799,-169.081,1,0.000879731
0.00436591,-169.082,1,0.000882377
0.00453383,-169.082,1,0.000885075
0.00470175,-169.083,1,0.000887827
0.00486967,-169.083,1,0.000890634
0.00503759,-169.084,1,0.000893497
0.00520551,-169.085,1,0.000896418
0.00537343,-169.085,1,0.000899399
0.00554135,-169.086,1,0.000902442
0.00570927,-169.087,1,0.000905547
0.00587719,-169.087,1,0.000908718
0.00604511,-169.088,1,0.000911957
0.00621303,-169.089,1,0.000915264
0.00638095,-169.09,1,0.000918644
0.00654887,-169.09,1,0.000922097
0.00671679,-169.091,1,0.000925625
0.00688471,-169.092,1,0.000929233
0.00705263,-169.093,1,0.000932921
0.00722055,-169.094,1,0.000936693
0.00738847,-169.095,1,0.00094055
0.00755639,-169.095,1,0.000944497
0.00772431,-169.096,1,0.000948536
0.00789223,-169.097,1,0.00095267
0.00806015,-169.098,1,0.000956903
0.00822807,-169.099,1,0.000961237
0.00839599,-169.1,1,0.000965676
0.00856391,-169.101,1,0.000970225
0.00873183,-169.102,1,0.000974887
0.00889975,-169.103,1,0.000979665
0.00906767,-169.105,1,0.000984565
0.00923559,-169.106,1,0.00098959
0.00940351,-169.107,1,0.000994746
0.00957143,-169.108,1,0.00100004
0.00973935,-169.109,1,0.00100547
0.00990727,-169.11,1,0.00101104
0.0100752,-169.112,1,0.00101677
0.0102431,-169.113,1,0.00102266
0.010411,-169.114,1,0.00102871
0.0105789,-169.116,1,0.00103494
0.0107469,-169.117,1,0.00104134
0.0109148,-169.118,1,0.00104792
0.0110827,-169.12,1,0.0010547
0.0112506,-169.122,1,0.00106168
0.0114185,-169.123,1,0.00106887
0.0115865,-169.125,1,0.00107628
0.0117544,-169.126,1,0.00108392
0.0119223,-169.128,1,0.0010918
0.0120902,-169.129,1,0.00109993
0.0122581,-169.131,1,0.00110832
0.0124261,-169.133,1,0.00111699
0.012594,-169.134,1,0.00112595
0.0127619,-169.136,1,0.00113521
0.0129298,-169.138,1,0.0011448
0.0130977,-169.139,1,0.00115472
0.0132657,-169.141,1,0.00116499
0.0134336,-169.143,1,0.00117563
0.0136015,-169.145,1,0.00118667
0.0137694,-169.146,1,0.00119812
0.0139373,-169.148,1,0.00121
0.0141053,-169.15,1,0.00122235
0.0142732,-169.152,1,0.00123519
0.0144411,-169.154,1,0.00124854
0.014609,-169.156,1,0.00126245
0.0147769,-169.158,1,0.00127694
0.0149449,-169.16,1,0.00129205
0.0151128,-169.161,1,0.00130783
0.0152807,-169.164,1,0.00132431
0.0154486,-169.166,1,0.00134154
0.0156165,-169.168,1,0.00135957
0.0157845,-169.17,1,0.00137848
0.0159524,-169.172,1,0.00139831
0.0161203,-169.174,1,0.00141913
0.0162882,-169.176,1,0.00144102
0.0164561,-169.178,1,0.00146407
0.0166241,-169.18,1,0.00148837
0.016792,-169.183,1,0.00151402
0.0169599,-169.185,1,0.00154114
0.0171278,-169.187,1,0.00156986
0.0172957,-169.189,1,0.00160033
0.0174637,-169.191,1,0.0016327
0.0176316,-169.194,1,0.00166717
0.0177995,-169.196,1,0.00170393
0.0179674,-169.198,1,0.00174323
0.0181353,-169.2,1,0.00178535
0.0183033,-169.203,1,0.00183059
0.0184712,-169.205,1,0.00187931
0.0186391,-169.207,1,0.00193195
0.018807,-169.21,1,0.00198898
0.0189749,-169.212,1,0.00205099
0.0191429,-169.214,1,0.00211866
0.0193108,-169.217,1,0.0021928
0.0194787,-169.219,1,0.00227441
0.0196466,-169.222,1,0.00236469
0.0198145,-169.224,1,0.0024651
0.0199825,-169.226,1,0.00257751
0.0201504,-169.229,1,0.00270424
0.0203183,-169.231,1,0.00284833
0.0204862,-169.234,1,0.00301382
0.0206541,-169.236,1,0.00320624
0.0208221,-169.239,1,0.00343355
0.02099,-169.242,1,0.00370766
0.0211579,-169.245,1,0.00404746
0.0213258,-169.248,1,0.00448435
0.0214937,-169.252,1,0.00507314
0.0216617,-169.256,1,0.00591326
0.0218296,-169.261,1,0.007192
0.0219975,-169.269,1,0.00927488
0.0221654,-169.281,1,0.0128994
0.0223333,-169.302,1,0.0195898
0.0225013,-169.342,1,0.0324889
0.0226692,-169.42,1,0.0577501
0.0228371,-169.565,1,0.105858
0.023005,-169.814,1,0.189809
0.0231729,-170.172,1,0.314139
0.0233409,-170.561,1,0.453664
0.0235088,-170.848,1,0.552405
0.0236767,-170.968,1,0.58333
0.0238446,-170.982,1,0.58333
0.0240125,-170.975,1,0.58333
0.0241805,-170.976,1,0.58333
0.0243484,-170.982,1,0.58333
0.0245163,-170.988,1,0.58333
0.0246842,-170.995,1,0.58333
0.0248521,-171.001,1,0.58333
0.0250201,-171.007,1,0.58333
0.025188,-171.011,1,0.58333
0.0253559,-171.016,1,0.58333
0.0255238,-171.019,1,0.58333
0.0256917,-171.02,1,0.58333
0.0258596,-171.021,1,0.58333
0.0260276,-171.019,1,0.58333
0.0261955,-171.017,1,0.58333
0.0263634,-171.013,1,0.58333
0.0265313,-171.007,1,0.58333
0.0266992,-170.999,1,0.58333
0.0268672,-170.99,1,0.58333
0.0270351,-170.979,1,0.58333
0.027203,-170.966,1,0.58333
0.0273709,-170.952,1,0.58333
0.0275388,-170.935,1,0.58333
0.0277068,-170.916,1,0.58333
0.0278747,-170.896,1,0.58333
0.0280426,-170.873,1,0.58333
0.0282105,-170.849,1,0.58333
0.0283784,-170.823,1,0.58333
0.0285464,-170.794,1,0.58333
0.0287143,-170.764,1,0.58333
0.0288822,-170.731,1,0.58333
0.0290501,-170.697,1,0.58333
0.029218,-170.66,1,0.58333
0.029386,-170.622,1,0.58333
0.0295539,-170.582,1,0.58333
0.0297218,-170.54,1,0.58333
0.0298897,-170.496,1,0.58333
0.0300576,-170.45,1,0.58333
0.0302256,-170.402,1,0.58333
0.0303935,-170.352,1,0.58333
0.0305614,-170.301,1,0.58333
0.0307293,-170.249,1,0.58333
0.0308972,-170.194,1,0.58333
0.0310652,-170.139,1,0.58333
0.0312331,-170.082,1,0.58333
0.031401,-170.023,1,0.58333
0.0315689,-169.964,1,0.58333
0.0317368,-169.904,1,0.58333
0.0319048,-169.843,1,0.58333
0.0320727,-169.783,1,0.58333
0.0322406,-169.722,1,0.58333
0.0324085,-169.662,1,0.58333
0.0325764,-169.603,1,0.58333
0.0327444,-169.551,1,0.58333
