z,U_0,U_1,U_2
0,0,0,0
0.00016792,0.0175224,0,-1.32965e-08
0.00033584,0.0349222,0,-4.72599e-08
0.000503759,0.0521994,0,-1.06305e-07
0.000671679,0.0693538,0,-1.91007e-07
0.000839599,0.0863849,0,-3.01572e-07
0.00100752,0.103293,0,-4.38591e-07
0.00117544,0.120077,0,-6.0278e-07
0.00134336,0.136737,0,-7.94844e-07
0.00151128,0.153274,0,-1.01546e-06
0.0016792,0.169685,0,-1.2653e-06
0.00184712,0.185973,0,-1.54501e-06
0.00201504,0.202135,0,-1.85523e-06
0.00218296,0.218173,0,-2.19658e-06
0.00235088,0.234085,0,-2.56965e-06
0.0025188,0.249872,0,-2.97503e-06
0.00268672,0.265533,0,-3.41326e-06
0.00285464,0.281069,0,-3.88487e-06
0.00302256,0.296478,0,-4.39036e-06
0.00319048,0.311761,0,-4.93021e-06
0.0033584,0.326917,0,-5.50485e-06
0.00352632,0.341947,0,-6.11469e-06
0.00369424,0.356849,0,-6.76012e-06
0.00386216,0.371624,0,-7.44146e-06
0.00403008,0.386273,0,-8.15903e-06
0.00419799,0.400793,0,-8.9131e-06
0.00436591,0.415185,0,-9.7039e-06
0.00453383,0.42945,0,-1.05316e-05
0.00470175,0.443586,0,-1.13964e-05
0.00486967,0.457594,0,-1.22984e-05
0.00503759,0.471474,0,-1.32377e-05
0.00520551,0.485224,0,-1.42142e-05
0.00537343,0.498845,0,-1.52281e-05
0.00554135,0.512337,0,-1.62792e-05
0.00570927,0.525701,0,-1.73674e-05
0.00587719,0.538934,0,-1.84927e-05
0.00604511,0.552038,0,-1.96548e-05
0.00621303,0.565012,0,-2.08535e-05
0.00638095,0.577856,0,-2.20886e-05
0.00654887,0.59057,0,-2.33597e-05
0.00671679,0.603153,0,-2.46665e-05
0.00688471,0.615606,0,-2.60086e-05
0.00705263,0.627928,0,-2.73856e-05
0.00722055,0.64012,0,-2.87969e-05
0.00738847,0.652181,0,-3.02422e-05
0.00755639,0.66411,0,-3.17207e-05
0.00772431,0.675909,0,-3.3232e-05
0.00789223,0.687576,0,-3.47752e-05
0.00806015,0.699112,0,-3.63499e-05
0.00822807,0.710517,0,-3.79552e-05
0.00839599,0.72179,0,-3.95904e-05
0.00856391,0.732931,0,-4.12547e-05
0.00873183,0.74394,0,-4.29472e-05
0.00889975,0.754818,0,-4.46671e-05
0.00906767,0.765563,0,-4.64134e-05
0.00923559,0.776176,0,-4.81852e-05
0.00940351,0.786658,0,-4.99815e-05
0.00957143,0.797007,0,-5.18014e-05
0.00973935,0.807224,0,-5.36437e-05
0.00990727,0.817308,0,-5.55074e-05
0.0100752,0.82726,0,-5.73914e-05
0.0102431,0.83708,0,-5.92945e-05
0.010411,0.846767,0,-6.12156e-05
0.0105789,0.856321,0,-6.31535e-05
0.0107469,0.865743,0,-6.51069e-05
0.0109148,0.875033,0,-6.70747e-05
0.0110827,0.88419,0,-6.90555e-05
0.0112506,0.893214,0,-7.10482e-05
0.0114185,0.902105,0,-7.30512e-05
0.0115865,0.910864,0,-7.50635e-05
0.0117544,0.919491,0,-7.70836e-05
0.0119223,0.927984,0,-7.91101e-05
0.0120902,0.936345,0,-8.11418e-05
0.0122581,0.944573,0,-8.31771e-05
0.0124261,0.952669,0,-8.52148e-05
0.012594,0.960632,0,-8.72534e-05
0.0127619,0.968462,0,-8.92915e-05
0.0129298,0.976161,0,-9.13277e-05
0.0130977,0.983726,0,-9.33605e-05
0.0132657,0.99116,0,-9.53886e-05
0.0134336,0.998461,0,-9.74106e-05
0.0136015,1.00563,0,-9.94249e-05
0.0137694,1.01267,0,-0.00010143
0.0139373,1.01957,0,-0.000103425
0.0141053,1.02634,0,-0.000105408
0.0142732,1.03298,0,-0.000107377
0.0144411,1.03949,0,-0.000109332
0.014609,1.04586,0,-0.000111271
0.0147769,1.05211,0,-0.000113192
0.0149449,1.05822,0,-0.000115095
0.0151128,1.0642,0,-0.000116977
0.0152807,1.07005,0,-0.000118838
0.0154486,1.07576,0,-0.000120676
0.0156165,1.08135,0,-0.000122489
0.0157845,1.08681,0,-0.000124278
0.0159524,1.09213,0,-0.000126039
0.0161203,1.09732,0,-0.000127773
0.0162882,1.10238,0,-0.000129478
0.0164561,1.10731,0,-0.000131152
0.0166241,1.11211,0,-0.000132795
0.016792,1.11678,0,-0.000134405
0.0169599,1.12132,0,-0.000135982
0.0171278,1.12573,0,-0.000137525
0.0172957,1.13001,0,-0.000139031
0.0174637,1.13416,0,-0.000140501
0.0176316,1.13818,0,-0.000141933
0.0177995,1.14207,0,-0.000143327
0.0179674,1.14583,0,-0.000144682
0.0181353,1.14946,0,-0.000145997
0.0183033,1.15296,0,-0.000147271
0.0184712,1.15633,0,-0.000148504
0.0186391,1.15957,0,-0.000149695
0.018807,1.16269,0,-0.000150843
0.0189749,1.16567,0,-0.000151948
0.0191429,1.16853,0,-0.00015301
0.0193108,1.17126,0,-0.000154028
0.0194787,1.17386,0,-0.000155001
0.0196466,1.17633,0,-0.00015593
0.0198145,1.17867,0,-0.000156814
0.0199825,1.18089,0,-0.000157653
0.0201504,1.18297,0,-0.000158447
0.0203183,1.18493,0,-0.000159196
0.0204862,1.18676,0,-0.000159899
0.0206541,1.18846,0,-0.000160559
0.0208221,1.19004,0,-0.000161172
0.02099,1.19148,0,-0.000161742
0.0211579,1.19279,0,-0.000162266
0.0213258,1.19396,0,-0.000162745
0.0214937,1.195,0,-0.000163179
0.0216617,1.19589,0,-0.000163568
0.0218296,1.19663,0,-0.00016391
0.0219975,1.19722,0,-0.000164209
0.0221654,1.19766,0,-0.000164467
0.0223333,1.19796,0,-0.000164691
0.0225013,1.19815,0,-0.000164889
0.0226692,1.19827,0,-0.00016507
0.0228371,1.19833,0,-0.000165242
0.023005,1.19836,0,-0.000165408
0.0231729,1.19838,0,-0.000165569
0.0233409,1.19839,0,-0.000165725
0.0235088,1.1984,0,-0.000165879
0.0236767,1.1984,0,-0.000166034
0.0238446,1.19841,0,-0.00016619
0.0240125,1.19841,0,-0.000166346
0.0241805,1.19842,0,-0.0001665
0.0243484,1.19842,0,-0.000166653
0.0245163,1.19843,0,-0.000166805
0.0246842,1.19843,0,-0.000166956
0.0248521,1.19843,0,-0.000167106
0.0250201,1.19844,0,-0.000167255
0.025188,1.19844,0,-0.000167403
0.0253559,1.19845,0,-0.00016755
0.0255238,1.19845,0,-0.000167697
0.0256917,1.19846,0,-0.000167842
0.0258596,1.19846,0,-0.000167987
0.0260276,1.19846,0,-0.00016813
0.0261955,1.19847,0,-0.000168273
0.0263634,1.19847,0,-0.000168415
0.0265313,1.19847,0,-0.000168556
0.0266992,1.19848,0,-0.000168696
0.0268672,1.19848,0,-0.000168836
0.0270351,1.19848,0,-0.000168974
0.027203,1.19848,0,-0.000169112
0.0273709,1.19849,0,-0.000169249
0.0275388,1.19849,0,-0.000169385
0.0277068,1.19849,0,-0.00016952
0.0278747,1.1985,0,-0.000169655
0.0280426,1.1985,0,-0.000169789
0.0282105,1.1985,0,-0.000169922
0.0283784,1.1985,0,-0.000170054
0.0285464,1.1985,0,-0.000170185
0.0287143,1.19851,0,-0.000170316
0.0288822,1.19851,0,-0.000170446
0.0290501,1.19851,0,-0.000170575
0.029218,1.19851,0,-0.000170703
0.029386,1.19851,0,-0.000170831
0.0295539,1.19851,0,-0.000170958
0.0297218,1.19851,0,-0.000171084
0.0298897,1.19851,0,-0.00017121
0.0300576,1.19852,0,-0.000171334
0.0302256,1.19852,0,-0.000171459
0.0303935,1.19852,0,-0.000171582
0.0305614,1.19852,0,-0.000171705
0.0307293,1.19852,0,-0.000171827
0.0308972,1.19852,0,-0.000171948
0.0310652,1.19852,0,-0.000172069
0.0312331,1.19852,0,-0.000172189
0.031401,1.19852,0,-0.000172309
0.0315689,1.19852,0,-0.000172428
0.0317368,1.19852,0,-0.000172546
0.0319048,1.19852,0,-0.000172663
0.0320727,1.19852,0,-0.00017278
0.0322406,1.19852,0,-0.000172897
0.0324085,1.19852,0,-0.000173012
0.0325764,1.19852,0,-0.000173127
0.0327444,1.19852,0,-0.000173242
0.0329123,1.19851,0,-0.000173357
0.0330802,1.19851,0,-0.000173475
0.0332481,1.19851,0,-0.000173583
0.033416,1.19851,0,-0.000173658
0.033584,1.18208,0,-0.000173844
0.0337519,1.13284,0,-0.000176178
0.0339198,1.06778,0,-0.000183033
0.0340877,1.00371,0,-0.000193696
0.0342556,0.941003,0,-0.000206869
0.0344236,0.879933,0,-0.000222121
0.0345915,0.820593,0,-0.000238862
0.0347594,0.763078,0,-0.000256614
0.0349273,0.707514,0,-0.00027498
0.0350952,0.654028,0,-0.000293611
0.0352632,0.602745,0,-0.000312226
0.0354311,0.553776,0,-0.000330586
0.035599,0.507205,0,-0.000348494
0.0357669,0.463094,0,-0.000365793
0.0359348,0.421481,0,-0.000382357
0.0361028,0.382382,0,-0.00039809
0.0362707,0.345792,0,-0.000412922
0.0364386,0.311689,0,-0.000426809
0.0366065,0.28003,0,-0.000439724
0.0367744,0.250759,0,-0.000451658
0.0369424,0.223802,0,-0.000462617
0.0371103,0.199078,0,-0.000472617
0.0372782,0.176491,0,-0.000481684
0.0374461,0.15594,0,-0.000489852
0.037614,0.137315,0,-0.000497158
0.037782,0.120504,0,-0.000503646
0.0379499,0.105391,0,-0.000509362
0.0381178,0.0918578,0,-0.000514352
0.0382857,0.0797884,0,-0.000518664
0.0384536,0.0690671,0,-0.000522347
0.0386216,0.0595813,0,-0.000525448
0.0387895,0.051222,0,-0.000528015
0.0389574,0.0438847,0,-0.000530092
0.0391253,0.0374702,0,-0.000531725
0.0392932,0.0318846,0,-0.000532955
0.0394612,0.0270402,0,-0.000533821
0.0396291,0.0228553,0,-0.000534363
0.039797,0.0192544,0,-0.000534614
0.0399649,0.0161682,0,-0.000534609
0.0401328,0.0135338,0,-0.000534376
0.0403008,0.0112938,0,-0.000533945
0.0404687,0.00939671,0,-0.00053334
0.0406366,0.00779639,0,-0.000532585
0.0408045,0.00645173,0,-0.0005317
0.0409724,0.00532634,0,-0.000530705
0.0411404,0.00438816,0,-0.000529615
0.0413083,0.00360912,0,-0.000528446
0.0414762,0.00296476,0,-0.00052721
0.0416441,0.00243388,0,-0.000525919
0.041812,0.00199819,0,-0.000524583
0.0419799,0.00164202,0,-0.000523209
0.0421479,0.00135198,0,-0.000521806
0.0423158,0.00111669,0,-0.000520379
0.0424837,0.00092656,0,-0.000518935
0.0426516,0.000773496,0,-0.000517478
0.0428195,0.000650734,0,-0.00051601
0.0429875,0.000552639,0,-0.000514536
0.0431554,0.00047454,0,-0.000513058
0.0433233,0.000412579,0,-0.000511579
0.0434912,0.000363591,0,-0.0005101
0.0436591,0.000324986,0,-0.000508623
0.0438271,0.000294656,0,-0.000507148
0.043995,0.000270895,0,-0.000505677
0.0441629,0.000252326,0,-0.000504211
0.0443308,0.000237842,0,-0.000502751
0.0444987,0.000226562,0,-0.000501296
0.0446667,0.000217782,0,-0.000499847
0.0448346,0.000210945,0,-0.000498404
0.0450025,0.000205613,0,-0.000496969
0.0451704,0.00020144,0,-0.00049554
0.0453383,0.000198157,0,-0.000494118
0.0455063,0.000195554,0,-0.000492703
0.0456742,0.000193469,0,-0.000491295
0.0458421,0.000191777,0,-0.000489894
0.04601,0.00019038,0,-0.000488501
0.0461779,0.000189205,0,-0.000487114
0.0463459,0.000188196,0,-0.000485735
0.0465138,0.00018731,0,-0.000484363
0.0466817,0.000186516,0,-0.000482999
0.0468496,0.000185789,0,-0.000481641
0.0470175,0.000185111,0,-0.00048029
0.0471855,0.000184469,0,-0.000478947
0.0473534,0.000183852,0,-0.00047761
0.0475213,0.000183253,0,-0.00047628
0.0476892,0.000182668,0,-0.000474958
0.0478571,0.000182091,0,-0.000473642
0.0480251,0.00018152,0,-0.000472333
0.048193,0.000180953,0,-0.000471032
0.0483609,0.000180389,0,-0.000469737
0.0485288,0.000179826,0,-0.000468448
0.0486967,0.000179264,0,-0.000467167
0.0488647,0.000178702,0,-0.000465892
0.0490326,0.000178139,0,-0.000464623
0.0492005,0.000177576,0,-0.000463361
0.0493684,0.000177013,0,-0.000462106
0.0495363,0.000176449,0,-0.000460857
0.0497043,0.000175884,0,-0.000459615
0.0498722,0.000175319,0,-0.000458379
0.0500401,0.000174753,0,-0.00045715
0.050208,0.000174186,0,-0.000455927
0.0503759,0.000173619,0,-0.00045471
0.0505439,0.000173052,0,-0.000453499
