z,U_0,U_1,U_2
0,-3.44133e-17,0,7.98726e-23
0.00136735,0.0163515,0,-3.22101e-09
0.00273469,0.0215281,0,-4.81371e-09
0.00410204,0.0230396,0,-5.59254e-09
0.00546939,0.0235301,0,-5.94731e-09
0.00683673,0.0237551,0,-6.15918e-09
0.00820408,0.0239136,0,-6.3314e-09
0.00957143,0.0240552,0,-6.49116e-09
0.0109388,0.0241886,0,-6.64269e-09
0.0123061,0.0243139,0,-6.78473e-09
0.0136735,0.0244311,0,-6.92068e-09
0.0150408,0.0245403,0,-7.05316e-09
0.0164082,0.0246415,0,-7.18402e-09
0.0177755,0.0247347,0,-7.31489e-09
0.0191429,0.02482,0,-7.44724e-09
0.0205102,0.0248973,0,-7.58228e-09
0.0218776,0.0249669,0,-7.72095e-09
0.0232449,0.0250286,0,-7.86395e-09
0.0246122,0.0250825,0,-8.0117e-09
0.0259796,0.0251286,0,-8.16456e-09
0.0273469,0.025167,0,-8.32404e-09
0.0287143,0.0251977,0,-8.4938e-09
0.0300816,0.0252207,0,-8.67489e-09
0.031449,0.025236,0,-8.83819e-09
0.0328163,0.0252436,0,-8.95492e-09
0.0341837,0.018907,0,-9.32749e-09
0.035551,0.00612503,0,-9.86197e-09
0.0369184,9.05719e-05,0,-1.00813e-08
0.0382857,-2.53868e-08,0,-1.03674e-08
0.0396531,-6.68386e-07,0,-1.07124e-08
0.0410204,-6.18728e-07,0,-1.09166e-08
0.0423878,-5.65393e-07,0,-1.11582e-08
0.0437551,-5.12073e-07,0,-1.13939e-08
0.0451224,-4.58913e-07,0,-1.16209e-08
0.0464898,-4.05977e-07,0,-1.18445e-08
0.0478571,-3.53352e-07,0,-1.20531e-08
0.0492245,-3.01122e-07,0,-1.22543e-08
0.0505918,-2.49359e-07,0,-1.24501e-08
0.0519592,-1.98125e-07,0,-1.26371e-08
0.0533265,-1.47487e-07,0,-1.28097e-08
0.0546939,-9.75168e-08,0,-1.29686e-08
0.0560612,-4.82777e-08,0,-1.31256e-08
0.0574286,1.7905e-10,0,-1.3283e-08
0.0587959,4.77943e-08,0,-1.34352e-08
0.0601633,9.45118e-08,0,-1.35819e-08
0.0615306,1.4028e-07,0,-1.3723e-08
0.062898,1.85047e-07,0,-1.38593e-08
0.0642653,2.28777e-07,0,-1.39927e-08
0.0656327,2.71797e-07,0,-1.41224e-08
0.067,3.77808e-07,0,-1.43871e-08
