z,p_rgh,alpha.concrete,nu1
0,-167.901,1,0.000826883
0.00016792,-167.902,1,0.000828599
0.00033584,-167.903,1,0.000830336
0.000503759,-167.904,1,0.0008321
0.000671679,-167.905,1,0.00083389
0.000839599,-167.906,1,0.000835708
0.00100752,-167.907,1,0.000837554
0.00117544,-167.908,1,0.000839429
0.00134336,-167.909,1,0.000841334
0.00151128,-167.909,1,0.000843269
0.0016792,-167.91,1,0.000845235
0.00184712,-167.911,1,0.000847234
0.00201504,-167.912,1,0.000849264
0.00218296,-167.913,1,0.000851328
0.00235088,-167.914,1,0.000853426
0.0025188,-167.915,1,0.000855559
0.00268672,-167.916,1,0.000857728
0.00285464,-167.917,1,0.000859934
0.00302256,-167.918,1,0.000862177
0.00319048,-167.919,1,0.000864458
0.0033584,-167.92,1,0.000866779
0.00352632,-167.921,1,0.000869141
0.00369424,-167.922,1,0.000871544
0.00386216,-167.923,1,0.00087399
0.00403008,-167.924,1,0.00087648
0.00419799,-167.925,1,0.000879015
0.00436591,-167.926,1,0.000881595
0.00453383,-167.927,1,0.000884223
0.00470175,-167.928,1,0.0008869
0.00486967,-167.929,1,0.000889626
0.00503759,-167.93,1,0.000892403
0.00520551,-167.931,1,0.000895234
0.00537343,-167.931,1,0.000898118
0.00554135,-167.932,1,0.000901058
0.00570927,-167.933,1,0.000904056
0.00587719,-167.934,1,0.000907112
0.00604511,-167.935,1,0.000910229
0.00621303,-167.936,1,0.000913408
0.00638095,-167.937,1,0.000916651
0.00654887,-167.938,1,0.00091996
0.00671679,-167.939,1,0.000923338
0.00688471,-167.94,1,0.000926786
0.00705263,-167.941,1,0.000930306
0.00722055,-167.942,1,0.0009339
0.00738847,-167.943,1,0.000937571
0.00755639,-167.944,1,0.000941321
0.00772431,-167.945,1,0.000945153
0.00789223,-167.946,1,0.00094907
0.00806015,-167.947,1,0.000953074
0.00822807,-167.948,1,0.000957168
0.00839599,-167.949,1,0.000961355
0.00856391,-167.95,1,0.000965638
