z,U_0,U_1,U_2
0,-2.2015e-17,0,-1.64158e-22
0.00136735,0.152418,0,-7.39755e-08
0.00273469,0.296185,0,-2.51421e-07
0.00410204,0.430901,0,-5.32289e-07
0.00546939,0.55618,0,-9.07785e-07
0.00683673,0.6717,0,-1.37431e-06
0.00820408,0.777219,0,-1.92443e-06
0.00957143,0.872585,0,-2.54338e-06
0.0109388,0.957739,0,-3.20864e-06
0.0123061,1.03271,0,-3.89134e-06
0.0136735,1.0976,0,-4.55915e-06
0.0150408,1.15258,0,-5.17969e-06
0.0164082,1.19785,0,-5.72418e-06
0.0177755,1.23365,0,-6.17119e-06
0.0191429,1.2604,0,-6.5102e-06
0.0205102,1.27906,0,-6.74463e-06
0.0218776,1.29142,0,-6.8939e-06
0.0232449,1.29993,0,-6.98793e-06
0.0246122,1.30653,0,-7.04933e-06
0.0259796,1.31204,0,-7.08774e-06
0.0273469,1.31664,0,-7.10688e-06
0.0287143,1.32031,0,-7.10959e-06
0.0300816,1.32306,0,-7.10072e-06
0.031449,1.32489,0,-7.09174e-06
0.0328163,1.3258,0,-7.08771e-06
0.0341837,1.161,0,-7.03277e-06
0.035551,0.72217,0,-9.3359e-06
0.0369184,0.310375,0,-1.37441e-05
0.0382857,0.106361,0,-1.62503e-05
0.0396531,0.029724,0,-1.62665e-05
0.0410204,0.0069478,0,-1.51501e-05
0.0423878,0.00140426,0,-1.40531e-05
0.0437551,0.000267983,0,-1.27985e-05
0.0451224,6.66208e-05,0,-1.1765e-05
0.0464898,3.42546e-05,0,-1.06729e-05
0.0478571,2.85012e-05,0,-9.76404e-06
0.0492245,2.65001e-05,0,-8.82365e-06
0.0505918,2.50529e-05,0,-8.01168e-06
0.0519592,2.37275e-05,0,-7.21427e-06
0.0533265,2.24896e-05,0,-6.48036e-06
0.0546939,2.13212e-05,0,-5.79239e-06
0.0560612,2.02225e-05,0,-5.14718e-06
0.0574286,1.91873e-05,0,-4.54214e-06
0.0587959,1.82123e-05,0,-3.9739e-06
0.0601633,1.72935e-05,0,-3.43964e-06
0.0615306,1.64254e-05,0,-2.93691e-06
0.062898,1.55985e-05,0,-2.46271e-06
0.0642653,1.47972e-05,0,-2.01898e-06
0.0656327,1.40092e-05,0,-1.59231e-06
0.067,1.20982e-05,0,-6.32823e-07
