z,p_rgh,alpha.concrete,nu1
0,-168.124,1,0.000805943
0.00136735,-168.123,1,0.000819003
0.00273469,-168.124,1,0.000834052
0.00410204,-168.124,1,0.000851979
0.00546939,-168.124,1,0.000873535
0.00683673,-168.124,1,0.000899678
0.00820408,-168.124,1,0.000931704
0.00957143,-168.125,1,0.000971428
0.0109388,-168.125,1,0.0010215
0.0123061,-168.125,1,0.00108601
0.0136735,-168.126,1,0.00117161
0.0150408,-168.126,1,0.0012902
0.0164082,-168.127,1,0.00146474
0.0177755,-168.128,1,0.00174214
0.0191429,-168.128,1,0.00221398
0.0205102,-168.129,1,0.00300559
0.0218776,-168.129,1,0.00402847
0.0232449,-168.13,1,0.00475877
0.0246122,-168.131,1,0.00496
0.0259796,-168.131,1,0.00496
0.0273469,-168.131,1,0.00496
0.0287143,-168.132,1,0.00496
0.0300816,-168.132,1,0.00496
0.031449,-168.133,1,0.00496
0.0328163,-126.958,0.755102,0.00391405
0.0341837,-41.1755,0.244898,0.00172452
0.035551,3.36767e-05,0,0.000671
0.0369184,3.26394e-05,0,0.000731624
0.0382857,3.10672e-05,0,0.00099046
0.0396531,2.91554e-05,0,0.0020288
0.0410204,2.72507e-05,0,0.00371391
0.0423878,2.54784e-05,0,0.00475311
0.0437551,2.37678e-05,0,0.00496
0.0451224,2.21784e-05,0,0.00496
0.0464898,2.06828e-05,0,0.00496
0.0478571,1.92986e-05,0,0.00496
0.0492245,1.79936e-05,0,0.00496
0.0505918,1.67874e-05,0,0.00496
0.0519592,1.56547e-05,0,0.00496
0.0533265,1.46021e-05,0,0.00496
0.0546939,1.36209e-05,0,0.00496
0.0560612,1.27064e-05,0,0.00496
0.0574286,1.18548e-05,0,0.00496
0.0587959,1.10622e-05,0,0.00496
0.0601633,1.03244e-05,0,0.00496
0.0615306,9.6378e-06,0,0.00496
0.062898,8.99928e-06,0,0.00496
0.0642653,8.40547e-06,0,0.00496
0.0656327,7.85619e-06,0,0.00496
0.067,6.5892e-06,0,0.00496
