z,U_0,U_1,U_2
0,0,0,0
0.000336683,0.0356628,0,-1.42753e-07
0.000673367,0.0708309,0,-5.09506e-07
0.00101005,0.105503,0,-1.13697e-06
0.00134673,0.139679,0,-2.02076e-06
0.00168342,0.173357,0,-3.15495e-06
0.0020201,0.206536,0,-4.53623e-06
0.00235678,0.239214,0,-6.16146e-06
0.00269347,0.27139,0,-8.0266e-06
0.00303015,0.303064,0,-1.01267e-05
0.00336683,0.334234,0,-1.2456e-05
0.00370352,0.3649,0,-1.50082e-05
0.0040402,0.395059,0,-1.77761e-05
0.00437688,0.424711,0,-2.0752e-05
0.00471357,0.453855,0,-2.39276e-05
0.00505025,0.48249,0,-2.72938e-05
0.00538693,0.510615,0,-3.08411e-05
0.00572362,0.53823,0,-3.45596e-05
0.0060603,0.565332,0,-3.84388e-05
0.00639698,0.591922,0,-4.24677e-05
0.00673367,0.617999,0,-4.6635e-05
0.00707035,0.643562,0,-5.0929e-05
0.00740704,0.668611,0,-5.53376e-05
0.00774372,0.693144,0,-5.98485e-05
0.0080804,0.717161,0,-6.44493e-05
0.00841709,0.740662,0,-6.91271e-05
0.00875377,0.763645,0,-7.38689e-05
0.00909045,0.786111,0,-7.86618e-05
0.00942714,0.80806,0,-8.34924e-05
0.00976382,0.829491,0,-8.83476e-05
0.0101005,0.850403,0,-9.32142e-05
0.0104372,0.870796,0,-9.80788e-05
0.0107739,0.89067,0,-0.000102928
0.0111106,0.910025,0,-0.000107749
0.0114472,0.928861,0,-0.00011253
0.0117839,0.947178,0,-0.000117256
0.0121206,0.964975,0,-0.000121915
0.0124573,0.982253,0,-0.000126496
0.012794,0.999012,0,-0.000130984
0.0131307,1.01525,0,-0.00013537
0.0134673,1.03097,0,-0.000139641
0.013804,1.04617,0,-0.000143785
0.0141407,1.06086,0,-0.000147793
0.0144774,1.07502,0,-0.000151652
0.0148141,1.08866,0,-0.000155354
0.0151508,1.10179,0,-0.000158888
0.0154874,1.1144,0,-0.000162246
0.0158241,1.12649,0,-0.000165418
0.0161608,1.13807,0,-0.000168396
0.0164975,1.14913,0,-0.000171172
0.0168342,1.15967,0,-0.000173739
0.0171709,1.1697,0,-0.000176091
0.0175075,1.17921,0,-0.00017822
0.0178442,1.18821,0,-0.000180122
0.0181809,1.19669,0,-0.000181791
0.0185176,1.20466,0,-0.000183224
0.0188543,1.21211,0,-0.000184415
0.019191,1.21905,0,-0.000185362
0.0195276,1.22548,0,-0.000186062
0.0198643,1.23139,0,-0.000186512
0.020201,1.23679,0,-0.000186711
0.0205377,1.24166,0,-0.000186656
0.0208744,1.24602,0,-0.000186345
0.0212111,1.24984,0,-0.000185778
0.0215477,1.25314,0,-0.00018495
0.0218844,1.2559,0,-0.000183861
0.0222211,1.25814,0,-0.000182509
0.0225578,1.25987,0,-0.000180897
0.0228945,1.26117,0,-0.000179051
0.0232312,1.2621,0,-0.000177031
0.0235678,1.26278,0,-0.000174931
0.0239045,1.26331,0,-0.000172802
0.0242412,1.26378,0,-0.000170628
0.0245779,1.26422,0,-0.000168413
0.0249146,1.26464,0,-0.000166196
0.0252513,1.26504,0,-0.000163987
0.0255879,1.26544,0,-0.000161776
0.0259246,1.26581,0,-0.00015956
0.0262613,1.26617,0,-0.000157339
0.026598,1.26651,0,-0.000155113
0.0269347,1.26683,0,-0.000152881
0.0272714,1.26714,0,-0.000150644
0.027608,1.26743,0,-0.000148403
0.0279447,1.2677,0,-0.000146155
0.0282814,1.26796,0,-0.000143902
0.0286181,1.2682,0,-0.000141644
0.0289548,1.26843,0,-0.000139379
0.0292915,1.26864,0,-0.000137109
0.0296281,1.26883,0,-0.000134832
0.0299648,1.26901,0,-0.00013255
0.0303015,1.26917,0,-0.000130261
0.0306382,1.26932,0,-0.000127967
0.0309749,1.26945,0,-0.000125666
0.0313116,1.26956,0,-0.00012336
0.0316482,1.26966,0,-0.00012105
0.0319849,1.26974,0,-0.000118731
0.0323216,1.2698,0,-0.000116373
0.0326583,1.26985,0,-0.000113952
0.032995,1.26988,0,-0.000111731
0.0333317,1.26989,0,-0.000110216
0.0336683,1.24038,0,-0.000106582
0.034005,1.15193,0,-9.45864e-05
0.0343417,1.0358,0,-6.93572e-05
0.0346784,0.922725,0,-2.93483e-05
0.0350151,0.814069,0,2.35902e-05
0.0353518,0.71105,0,8.76402e-05
0.0356884,0.614679,0,0.000161684
0.0360251,0.525744,0,0.000243764
0.0363618,0.444796,0,0.000331373
0.0366985,0.37214,0,0.000421484
0.0370352,0.307844,0,0.000510842
0.0373719,0.251754,0,0.00059632
0.0377085,0.203516,0,0.000675263
0.0380452,0.16262,0,0.000745739
0.0383819,0.128435,0,0.000806635
0.0387186,0.100255,0,0.000857624
0.0390553,0.077341,0,0.00089903
0.039392,0.0589597,0,0.000931644
0.0397286,0.0444086,0,0.000956532
0.0400653,0.0330392,0,0.000974874
0.040402,0.0242698,0,0.000987836
0.0407387,0.0175918,0,0.000996492
0.0410754,0.0125706,0,0.00100178
0.0414121,0.00884265,0,0.00100449
0.0417487,0.00610962,0,0.00100525
0.0420854,0.00413124,0,0.00100457
0.0424221,0.0027173,0,0.00100283
0.0427588,0.00171975,0,0.00100034
0.0430955,0.00102522,0,0.000997293
0.0434322,0.000548225,0,0.000993868
0.0437688,0.000225318,0,0.000990172
0.0441055,1.01067e-05,0,0.000986288
0.0444422,-0.000130828,0,0.000982276
0.0447789,-0.000221211,0,0.000978177
0.0451156,-0.000277645,0,0.000974017
0.0454523,-0.000311582,0,0.000969816
0.0457889,-0.000330813,0,0.000965587
0.0461256,-0.000340563,0,0.000961337
0.0464623,-0.000344291,0,0.000957074
0.046799,-0.000344252,0,0.000952801
0.0471357,-0.000341901,0,0.000948522
0.0474724,-0.00033816,0,0.000944239
0.047809,-0.000333608,0,0.000939954
0.0481457,-0.000328603,0,0.000935667
0.0484824,-0.000323363,0,0.00093138
0.0488191,-0.000318019,0,0.000927094
0.0491558,-0.000312649,0,0.00092281
0.0494925,-0.000307298,0,0.000918528
0.0498291,-0.000301993,0,0.00091425
0.0501658,-0.000296746,0,0.000909975
0.0505025,-0.000291567,0,0.000905705
0.0508392,-0.000286458,0,0.00090144
0.0511759,-0.000281422,0,0.000897181
0.0515126,-0.000276459,0,0.000892928
0.0518492,-0.000271568,0,0.000888683
0.0521859,-0.00026675,0,0.000884445
0.0525226,-0.000262002,0,0.000880215
0.0528593,-0.000257324,0,0.000875994
0.053196,-0.000252716,0,0.000871781
0.0535327,-0.000248176,0,0.000867579
0.0538693,-0.000243704,0,0.000863386
0.054206,-0.000239297,0,0.000859204
0.0545427,-0.000234957,0,0.000855033
0.0548794,-0.00023068,0,0.000850873
0.0552161,-0.000226468,0,0.000846725
0.0555528,-0.000222318,0,0.000842589
0.0558894,-0.000218229,0,0.000838465
0.0562261,-0.000214202,0,0.000834355
0.0565628,-0.000210235,0,0.000830257
0.0568995,-0.000206327,0,0.000826173
0.0572362,-0.000202477,0,0.000822102
0.0575729,-0.000198686,0,0.000818046
0.0579095,-0.000194952,0,0.000814005
0.0582462,-0.000191274,0,0.000809977
0.0585829,-0.000187653,0,0.000805965
0.0589196,-0.000184088,0,0.000801968
0.0592563,-0.000180579,0,0.000797987
0.059593,-0.000177125,0,0.000794021
0.0599296,-0.000173727,0,0.000790071
0.0602663,-0.000170386,0,0.000786137
0.060603,-0.000167102,0,0.000782219
0.0609397,-0.000163877,0,0.000778318
0.0612764,-0.000160712,0,0.000774434
0.0616131,-0.000157608,0,0.000770567
0.0619497,-0.000154568,0,0.000766716
0.0622864,-0.000151594,0,0.000762883
0.0626231,-0.000148689,0,0.000759067
0.0629598,-0.000145856,0,0.000755269
0.0632965,-0.000143098,0,0.000751488
0.0636332,-0.000140417,0,0.000747725
0.0639698,-0.000137816,0,0.00074398
0.0643065,-0.000135297,0,0.000740253
0.0646432,-0.000132861,0,0.000736545
0.0649799,-0.000130506,0,0.000732854
0.0653166,-0.000128232,0,0.000729182
0.0656533,-0.000126036,0,0.000725528
0.0659899,-0.000123916,0,0.000721893
0.0663266,-0.000121868,0,0.000718281
0.0666633,-0.00011989,0,0.000714684
0.067,-0.000104954,0,0.000684962
