# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-3.631586e+00	-5.403457e+01	-1.089421e+01	-9.078693e+00	-1.815521e+00
1             	-7.893296e+00	-5.281752e+01	-8.194702e+00	-1.199065e+01	3.795946e+00
2             	9.469145e+00	-5.152712e+01	-8.176707e+00	5.380791e+00	-1.355750e+01
3             	1.028230e+01	-5.027268e+01	-8.098560e+00	6.233020e+00	-1.433158e+01
4             	9.703041e+00	-4.906400e+01	-8.085281e+00	5.660400e+00	-1.374568e+01
5             	8.578627e+00	-4.790100e+01	-8.089229e+00	4.534012e+00	-1.262324e+01
6             	7.866325e+00	-4.678127e+01	-8.074910e+00	3.828870e+00	-1.190378e+01
7             	7.566848e+00	-4.570232e+01	-8.056783e+00	3.538456e+00	-1.159524e+01
8             	7.298629e+00	-4.466255e+01	-8.022407e+00	3.287425e+00	-1.130983e+01
9             	7.062535e+00	-4.366046e+01	-7.966136e+00	3.079467e+00	-1.104560e+01
10            	6.711340e+00	-4.269455e+01	-7.863866e+00	2.779407e+00	-1.064327e+01
11            	6.082296e+00	-4.176364e+01	-7.828561e+00	2.168016e+00	-9.996577e+00
12            	5.395497e+00	-4.086656e+01	-7.838596e+00	1.476199e+00	-9.314795e+00
13            	4.784038e+00	-4.000188e+01	-7.838641e+00	8.647179e-01	-8.703359e+00
14            	4.237357e+00	-3.916826e+01	-7.816296e+00	3.292086e-01	-8.145504e+00
15            	3.720380e+00	-3.836443e+01	-7.803575e+00	-1.814073e-01	-7.622168e+00
16            	3.241024e+00	-3.758922e+01	-7.819836e+00	-6.688944e-01	-7.150941e+00
17            	2.837284e+00	-3.684143e+01	-7.872711e+00	-1.099072e+00	-6.773639e+00
18            	2.556702e+00	-3.611983e+01	-7.923542e+00	-1.405069e+00	-6.518473e+00
19            	2.385405e+00	-3.542320e+01	-7.931067e+00	-1.580129e+00	-6.350938e+00
20            	2.261040e+00	-3.475043e+01	-7.898336e+00	-1.688129e+00	-6.210208e+00
21            	2.126010e+00	-3.410060e+01	-7.859950e+00	-1.803965e+00	-6.055985e+00
22            	1.968840e+00	-3.347284e+01	-7.827829e+00	-1.945074e+00	-5.882755e+00
23            	1.794911e+00	-3.286631e+01	-7.805080e+00	-2.107629e+00	-5.697451e+00
24            	1.612357e+00	-3.228020e+01	-7.792281e+00	-2.283783e+00	-5.508498e+00
25            	1.428995e+00	-3.171372e+01	-7.792527e+00	-2.467269e+00	-5.325258e+00
26            	1.255170e+00	-3.116610e+01	-7.803966e+00	-2.646813e+00	-5.157153e+00
27            	1.100719e+00	-3.063659e+01	-7.820443e+00	-2.809502e+00	-5.010941e+00
28            	9.711907e-01	-3.012445e+01	-7.833634e+00	-2.945626e+00	-4.888007e+00
29            	8.650096e-01	-2.962899e+01	-7.838515e+00	-3.054248e+00	-4.784267e+00
30            	7.752333e-01	-2.914953e+01	-7.835434e+00	-3.142484e+00	-4.692950e+00
31            	6.944427e-01	-2.868546e+01	-7.828065e+00	-3.219590e+00	-4.608475e+00
32            	6.171626e-01	-2.823618e+01	-7.819954e+00	-3.292814e+00	-4.527139e+00
33            	5.413841e-01	-2.780113e+01	-7.813038e+00	-3.365135e+00	-4.447903e+00
34            	4.675674e-01	-2.737978e+01	-7.807469e+00	-3.436167e+00	-4.371302e+00
35            	3.963217e-01	-2.697159e+01	-7.803755e+00	-3.505556e+00	-4.298199e+00
36            	3.283711e-01	-2.657607e+01	-7.801994e+00	-3.572626e+00	-4.229368e+00
37            	2.645555e-01	-2.619274e+01	-7.801058e+00	-3.635973e+00	-4.165084e+00
38            	2.052975e-01	-2.582113e+01	-7.800111e+00	-3.694758e+00	-4.105353e+00
39            	1.507618e-01	-2.546081e+01	-7.798492e+00	-3.748484e+00	-4.050008e+00
40            	1.006428e-01	-2.511134e+01	-7.795856e+00	-3.797285e+00	-3.998571e+00
41            	5.431783e-02	-2.477233e+01	-7.792353e+00	-3.841859e+00	-3.950494e+00
