# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-3.632131e+00	-2.734415e+01	-1.089421e+01	-9.079237e+00	-1.814976e+00
1             	-4.925718e+00	-2.717250e+01	-8.132846e+00	-8.992141e+00	8.592955e-01
2             	-4.674890e+00	-2.700352e+01	-8.131314e+00	-8.740547e+00	6.092327e-01
3             	-4.479785e+00	-2.683592e+01	-8.131164e+00	-8.545367e+00	4.142032e-01
4             	-4.322624e+00	-2.666980e+01	-8.131003e+00	-8.388126e+00	2.571231e-01
5             	-4.222825e+00	-2.650516e+01	-8.131029e+00	-8.288339e+00	1.573105e-01
6             	-4.163549e+00	-2.634205e+01	-8.131082e+00	-8.229090e+00	9.800801e-02
7             	-4.127697e+00	-2.618046e+01	-8.131079e+00	-8.193237e+00	6.215755e-02
8             	-4.105165e+00	-2.602040e+01	-8.131033e+00	-8.170681e+00	3.964865e-02
9             	-4.091056e+00	-2.586185e+01	-8.130957e+00	-8.156534e+00	2.557711e-02
10            	-4.081252e+00	-2.570480e+01	-8.130862e+00	-8.146683e+00	1.582108e-02
11            	-4.074397e+00	-2.554925e+01	-8.130754e+00	-8.139774e+00	9.019782e-03
12            	-4.069276e+00	-2.539518e+01	-8.130638e+00	-8.134595e+00	3.957431e-03
13            	-4.065357e+00	-2.524256e+01	-8.130519e+00	-8.130616e+00	9.749287e-05
14            	-4.062251e+00	-2.509140e+01	-8.130403e+00	-8.127452e+00	-2.950312e-03
15            	-4.059714e+00	-2.494167e+01	-8.130290e+00	-8.124859e+00	-5.430629e-03
16            	-4.057592e+00	-2.479336e+01	-8.130181e+00	-8.122683e+00	-7.497838e-03
17            	-4.055783e+00	-2.464645e+01	-8.130078e+00	-8.120822e+00	-9.255833e-03
18            	-4.054102e+00	-2.450094e+01	-8.129977e+00	-8.119091e+00	-1.088601e-02
19            	-4.052762e+00	-2.435680e+01	-8.129889e+00	-8.117706e+00	-1.218292e-02
20            	-4.051498e+00	-2.421402e+01	-8.129848e+00	-8.116422e+00	-1.342653e-02
21            	-4.050200e+00	-2.407259e+01	-8.129743e+00	-8.115071e+00	-1.467191e-02
22            	-4.049294e+00	-2.393250e+01	-8.129654e+00	-8.114121e+00	-1.553284e-02
23            	-4.048425e+00	-2.379373e+01	-8.129489e+00	-8.113169e+00	-1.631961e-02
24            	-4.047780e+00	-2.365626e+01	-8.129454e+00	-8.112507e+00	-1.694695e-02
25            	-4.047229e+00	-2.352009e+01	-8.129442e+00	-8.111950e+00	-1.749220e-02
26            	-4.046737e+00	-2.338520e+01	-8.129363e+00	-8.111419e+00	-1.794411e-02
27            	-4.046306e+00	-2.325158e+01	-8.129286e+00	-8.110950e+00	-1.833691e-02
28            	-4.045912e+00	-2.311921e+01	-8.129202e+00	-8.110513e+00	-1.868942e-02
29            	-4.045557e+00	-2.298809e+01	-8.129117e+00	-8.110116e+00	-1.900126e-02
30            	-4.045241e+00	-2.285819e+01	-8.129033e+00	-8.109757e+00	-1.927582e-02
31            	-4.044960e+00	-2.272951e+01	-8.128963e+00	-8.109441e+00	-1.952200e-02
32            	-4.044700e+00	-2.260204e+01	-8.128887e+00	-8.109143e+00	-1.974331e-02
33            	-4.044467e+00	-2.247576e+01	-8.128819e+00	-8.108876e+00	-1.994275e-02
34            	-4.044252e+00	-2.235065e+01	-8.128754e+00	-8.108629e+00	-2.012501e-02
35            	-4.044131e+00	-2.222672e+01	-8.128692e+00	-8.108477e+00	-2.021482e-02
36            	-4.044063e+00	-2.210394e+01	-8.128662e+00	-8.108394e+00	-2.026832e-02
37            	-4.043848e+00	-2.198231e+01	-8.128627e+00	-8.108161e+00	-2.046580e-02
