# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
62            	-4.052040e+00	-1.795101e+01	-8.120618e+00	-8.112348e+00	-8.269221e-03
63            	-4.050978e+00	-1.780506e+01	-8.119970e+00	-8.110963e+00	-9.007082e-03
64            	-4.050990e+00	-1.766278e+01	-8.120271e+00	-8.111125e+00	-9.145405e-03
65            	-4.051143e+00	-1.752404e+01	-8.120411e+00	-8.111348e+00	-9.062651e-03
66            	-4.051476e+00	-1.738867e+01	-8.120492e+00	-8.111722e+00	-8.770345e-03
67            	-4.051934e+00	-1.725655e+01	-8.120538e+00	-8.112203e+00	-8.335186e-03
68            	-4.052450e+00	-1.712754e+01	-8.120563e+00	-8.112731e+00	-7.832065e-03
69            	-4.052963e+00	-1.700154e+01	-8.120580e+00	-8.113253e+00	-7.327030e-03
70            	-4.053430e+00	-1.687841e+01	-8.120597e+00	-8.113728e+00	-6.868573e-03
71            	-4.053825e+00	-1.675806e+01	-8.120620e+00	-8.114135e+00	-6.485345e-03
72            	-4.054138e+00	-1.664038e+01	-8.120653e+00	-8.114465e+00	-6.188375e-03
73            	-4.054373e+00	-1.652526e+01	-8.120696e+00	-8.114721e+00	-5.975498e-03
74            	-4.054538e+00	-1.641263e+01	-8.120749e+00	-8.114913e+00	-5.835991e-03
75            	-4.054650e+00	-1.630238e+01	-8.120810e+00	-8.115055e+00	-5.754834e-03
76            	-4.054723e+00	-1.619444e+01	-8.120878e+00	-8.115162e+00	-5.715916e-03
77            	-4.054771e+00	-1.608873e+01	-8.120951e+00	-8.115247e+00	-5.704266e-03
78            	-4.054765e+00	-1.598517e+01	-8.120983e+00	-8.115257e+00	-5.726407e-03
79            	-4.054696e+00	-1.588369e+01	-8.120975e+00	-8.115183e+00	-5.791437e-03
