z,p_rgh,alpha.concrete,nu1
0,-169.442,1,0.00321677
0.00016792,-169.442,1,0.00341051
0.00033584,-169.442,1,0.00367936
0.000503759,-169.442,1,0.00410085
0.000671679,-169.442,1,0.00480121
0.000839599,-169.442,1,0.00603841
0.00100752,-169.442,1,0.00839945
0.00117544,-169.442,1,0.013322
0.00134336,-169.442,1,0.0245128
0.00151128,-169.442,1,0.0514938
0.0016792,-169.441,1,0.115827
0.00184712,-169.439,1,0.24955
0.00201504,-169.436,1,0.445737
0.00218296,-169.431,1,0.568262
0.00235088,-169.425,1,0.58333
0.0025188,-169.42,1,0.58333
0.00268672,-169.415,1,0.58333
0.00285464,-169.41,1,0.58333
0.00302256,-169.406,1,0.58333
0.00319048,-169.401,1,0.58333
0.0033584,-169.397,1,0.58333
0.00352632,-169.392,1,0.58333
0.00369424,-169.388,1,0.58333
0.00386216,-169.383,1,0.58333
0.00403008,-169.378,1,0.58333
0.00419799,-169.374,1,0.58333
0.00436591,-169.369,1,0.58333
0.00453383,-169.364,1,0.58333
0.00470175,-169.359,1,0.58333
0.00486967,-169.355,1,0.58333
0.00503759,-169.35,1,0.58333
0.00520551,-169.345,1,0.58333
0.00537343,-169.34,1,0.58333
0.00554135,-169.335,1,0.58333
0.00570927,-169.33,1,0.58333
0.00587719,-169.326,1,0.58333
0.00604511,-169.321,1,0.58333
0.00621303,-169.315,1,0.58333
0.00638095,-169.31,1,0.58333
0.00654887,-169.305,1,0.58333
0.00671679,-169.3,1,0.58333
0.00688471,-169.295,1,0.58333
0.00705263,-169.29,1,0.58333
0.00722055,-169.284,1,0.58333
0.00738847,-169.279,1,0.58333
0.00755639,-169.274,1,0.58333
0.00772431,-169.268,1,0.58333
0.00789223,-169.263,1,0.58333
0.00806015,-169.258,1,0.58333
0.00822807,-169.253,1,0.58333
0.00839599,-169.248,1,0.58333
0.00856391,-169.242,1,0.58333
0.00873183,-169.236,1,0.58333
0.00889975,-169.231,1,0.58333
0.00906767,-169.225,1,0.58333
0.00923559,-169.219,1,0.58333
0.00940351,-169.214,1,0.58333
0.00957143,-169.208,1,0.58333
0.00973935,-169.203,1,0.58333
0.00990727,-169.197,1,0.58333
0.0100752,-169.192,1,0.58333
0.0102431,-169.186,1,0.58333
0.010411,-169.18,1,0.58333
0.0105789,-169.175,1,0.58333
0.0107469,-169.169,1,0.58333
0.0109148,-169.163,1,0.58333
0.0110827,-169.157,1,0.58333
0.0112506,-169.152,1,0.58333
0.0114185,-169.146,1,0.58333
0.0115865,-169.14,1,0.58333
0.0117544,-169.134,1,0.58333
0.0119223,-169.128,1,0.58333
0.0120902,-169.122,1,0.58333
0.0122581,-169.116,1,0.58333
0.0124261,-169.11,1,0.58333
0.012594,-169.104,1,0.58333
0.0127619,-169.098,1,0.58333
0.0129298,-169.092,1,0.58333
0.0130977,-169.086,1,0.58333
0.0132657,-169.08,1,0.58333
0.0134336,-169.074,1,0.58333
0.0136015,-169.068,1,0.58333
0.0137694,-169.061,1,0.58333
0.0139373,-169.055,1,0.58333
0.0141053,-169.049,1,0.58333
0.0142732,-169.042,1,0.58333
0.0144411,-169.036,1,0.58333
0.014609,-169.03,1,0.58333
0.0147769,-169.023,1,0.58333
0.0149449,-169.017,1,0.58333
0.0151128,-169.011,1,0.58333
0.0152807,-169.004,1,0.58333
0.0154486,-168.998,1,0.58333
0.0156165,-168.991,1,0.58333
0.0157845,-168.985,1,0.58333
0.0159524,-168.978,1,0.58333
0.0161203,-168.971,1,0.58333
0.0162882,-168.965,1,0.58333
0.0164561,-168.958,1,0.58333
0.0166241,-168.952,1,0.58333
0.016792,-168.945,1,0.58333
0.0169599,-168.938,1,0.58333
0.0171278,-168.932,1,0.58333
0.0172957,-168.925,1,0.58333
0.0174637,-168.918,1,0.58333
0.0176316,-168.911,1,0.58333
0.0177995,-168.904,1,0.58333
0.0179674,-168.897,1,0.58333
0.0181353,-168.89,1,0.58333
0.0183033,-168.883,1,0.58333
0.0184712,-168.876,1,0.58333
0.0186391,-168.869,1,0.58333
0.018807,-168.862,1,0.58333
0.0189749,-168.855,1,0.58333
0.0191429,-168.848,1,0.58333
0.0193108,-168.841,1,0.58333
0.0194787,-168.833,1,0.58333
0.0196466,-168.826,1,0.58333
0.0198145,-168.819,1,0.58333
0.0199825,-168.812,1,0.58333
0.0201504,-168.805,1,0.58333
0.0203183,-168.797,1,0.58333
0.0204862,-168.79,1,0.58333
0.0206541,-168.783,1,0.58333
0.0208221,-168.775,1,0.58333
0.02099,-168.768,1,0.58333
0.0211579,-168.76,1,0.58333
0.0213258,-168.753,1,0.58333
0.0214937,-168.745,1,0.58333
0.0216617,-168.738,1,0.58333
0.0218296,-168.73,1,0.58333
0.0219975,-168.723,1,0.58333
0.0221654,-168.715,1,0.58333
0.0223333,-168.707,1,0.58333
0.0225013,-168.7,1,0.58333
0.0226692,-168.692,1,0.58333
0.0228371,-168.684,1,0.58333
0.023005,-168.676,1,0.58333
0.0231729,-168.669,1,0.58333
0.0233409,-168.661,1,0.58333
0.0235088,-168.653,1,0.58333
0.0236767,-168.645,1,0.58333
0.0238446,-168.637,1,0.58333
0.0240125,-168.629,1,0.58333
0.0241805,-168.622,1,0.58333
0.0243484,-168.614,1,0.58333
0.0245163,-168.606,1,0.58333
0.0246842,-168.598,1,0.58333
0.0248521,-168.59,1,0.58333
0.0250201,-168.582,1,0.58333
0.025188,-168.573,1,0.58333
0.0253559,-168.565,1,0.58333
0.0255238,-168.557,1,0.58333
0.0256917,-168.549,1,0.58333
0.0258596,-168.541,1,0.58333
0.0260276,-168.533,1,0.58333
0.0261955,-168.524,1,0.58333
0.0263634,-168.516,1,0.58333
0.0265313,-168.508,1,0.58333
0.0266992,-168.5,1,0.58333
0.0268672,-168.491,1,0.58333
0.0270351,-168.483,1,0.58333
0.027203,-168.475,1,0.58333
0.0273709,-168.466,1,0.58333
0.0275388,-168.458,1,0.58333
0.0277068,-168.449,1,0.58333
0.0278747,-168.441,1,0.58333
0.0280426,-168.433,1,0.58333
0.0282105,-168.424,1,0.58333
0.0283784,-168.416,1,0.58333
0.0285464,-168.407,1,0.58333
0.0287143,-168.399,1,0.58333
0.0288822,-168.39,1,0.58333
0.0290501,-168.381,1,0.58333
0.029218,-168.373,1,0.58333
0.029386,-168.364,1,0.58333
0.0295539,-168.355,1,0.58333
0.0297218,-168.347,1,0.58333
0.0298897,-168.338,1,0.58333
0.0300576,-168.329,1,0.58333
0.0302256,-168.32,1,0.58333
0.0303935,-168.311,1,0.58333
0.0305614,-168.302,1,0.58333
0.0307293,-168.293,1,0.58333
0.0308972,-168.285,1,0.58333
0.0310652,-168.276,1,0.58333
0.0312331,-168.267,1,0.58333
0.031401,-168.258,1,0.58333
0.0315689,-168.248,1,0.58333
0.0317368,-168.239,1,0.58333
0.0319048,-168.23,1,0.58333
0.0320727,-168.221,1,0.58333
0.0322406,-168.212,1,0.58333
0.0324085,-168.203,1,0.58333
0.0325764,-168.194,1,0.58333
0.0327444,-168.184,1,0.58333
0.0329123,-168.173,1,0.58333
0.0330802,-168.162,1,0.58333
0.0332481,-168.15,1,0.58333
0.033416,-126.212,0.750627,0.438399
0.033584,-41.9293,0.249373,0.146971
0.0337519,-1.2015e-05,0,0.00237227
0.0339198,-1.20011e-05,0,0.00640586
0.0340877,-1.19924e-05,0,0.0340415
0.0342556,-1.19842e-05,0,0.202384
0.0344236,-1.19761e-05,0,0.465521
0.0345915,-1.19681e-05,0,0.58333
0.0347594,-1.196e-05,0,0.58333
0.0349273,-1.1952e-05,0,0.58333
0.0350952,-1.19439e-05,0,0.58333
0.0352632,-1.19358e-05,0,0.58333
0.0354311,-1.19277e-05,0,0.58333
0.035599,-1.19196e-05,0,0.58333
0.0357669,-1.19115e-05,0,0.58333
0.0359348,-1.19034e-05,0,0.58333
0.0361028,-1.18953e-05,0,0.58333
0.0362707,-1.18871e-05,0,0.58333
0.0364386,-1.18789e-05,0,0.58333
0.0366065,-1.18707e-05,0,0.58333
0.0367744,-1.18625e-05,0,0.58333
0.0369424,-1.18543e-05,0,0.58333
0.0371103,-1.1846e-05,0,0.58333
0.0372782,-1.18377e-05,0,0.58333
0.0374461,-1.18294e-05,0,0.58333
0.037614,-1.1821e-05,0,0.58333
0.037782,-1.18127e-05,0,0.58333
0.0379499,-1.18043e-05,0,0.58333
0.0381178,-1.17959e-05,0,0.58333
0.0382857,-1.17875e-05,0,0.58333
0.0384536,-1.1779e-05,0,0.58333
0.0386216,-1.17706e-05,0,0.58333
0.0387895,-1.17621e-05,0,0.58333
0.0389574,-1.17536e-05,0,0.58333
0.0391253,-1.17451e-05,0,0.58333
0.0392932,-1.17365e-05,0,0.58333
0.0394612,-1.1728e-05,0,0.58333
0.0396291,-1.17195e-05,0,0.58333
0.039797,-1.17109e-05,0,0.58333
0.0399649,-1.17023e-05,0,0.58333
0.0401328,-1.16936e-05,0,0.58333
0.0403008,-1.1685e-05,0,0.58333
0.0404687,-1.16764e-05,0,0.58333
0.0406366,-1.16677e-05,0,0.58333
0.0408045,-1.16591e-05,0,0.58333
0.0409724,-1.16504e-05,0,0.58333
0.0411404,-1.16417e-05,0,0.58333
0.0413083,-1.1633e-05,0,0.58333
0.0414762,-1.16243e-05,0,0.58333
0.0416441,-1.16155e-05,0,0.58333
0.041812,-1.16068e-05,0,0.58333
0.0419799,-1.1598e-05,0,0.58333
0.0421479,-1.15892e-05,0,0.58333
0.0423158,-1.15804e-05,0,0.58333
0.0424837,-1.15716e-05,0,0.58333
0.0426516,-1.15628e-05,0,0.58333
0.0428195,-1.15539e-05,0,0.58333
0.0429875,-1.15451e-05,0,0.58333
0.0431554,-1.15362e-05,0,0.58333
0.0433233,-1.15273e-05,0,0.58333
0.0434912,-1.15183e-05,0,0.58333
0.0436591,-1.15094e-05,0,0.58333
0.0438271,-1.15004e-05,0,0.58333
0.043995,-1.14914e-05,0,0.58333
0.0441629,-1.14824e-05,0,0.58333
0.0443308,-1.14734e-05,0,0.58333
0.0444987,-1.14643e-05,0,0.58333
0.0446667,-1.14552e-05,0,0.58333
0.0448346,-1.14461e-05,0,0.58333
0.0450025,-1.1437e-05,0,0.58333
0.0451704,-1.14278e-05,0,0.58333
0.0453383,-1.14185e-05,0,0.58333
0.0455063,-1.14093e-05,0,0.58333
0.0456742,-1.14e-05,0,0.58333
0.0458421,-1.13907e-05,0,0.58333
0.04601,-1.13814e-05,0,0.58333
0.0461779,-1.1372e-05,0,0.58333
0.0463459,-1.13626e-05,0,0.58333
0.0465138,-1.13531e-05,0,0.58333
0.0466817,-1.13436e-05,0,0.58333
0.0468496,-1.13341e-05,0,0.58333
0.0470175,-1.13245e-05,0,0.58333
0.0471855,-1.13149e-05,0,0.58333
0.0473534,-1.13052e-05,0,0.58333
0.0475213,-1.12955e-05,0,0.58333
0.0476892,-1.12857e-05,0,0.58333
0.0478571,-1.12759e-05,0,0.58333
0.0480251,-1.1266e-05,0,0.58333
0.048193,-1.12561e-05,0,0.58333
0.0483609,-1.12461e-05,0,0.58333
0.0485288,-1.12361e-05,0,0.58333
0.0486967,-1.12261e-05,0,0.58333
0.0488647,-1.12159e-05,0,0.58333
0.0490326,-1.12057e-05,0,0.58333
0.0492005,-1.11955e-05,0,0.58333
0.0493684,-1.11852e-05,0,0.58333
0.0495363,-1.11748e-05,0,0.58333
0.0497043,-1.11644e-05,0,0.58333
0.0498722,-1.11539e-05,0,0.58333
0.0500401,-1.11433e-05,0,0.58333
0.050208,-1.11327e-05,0,0.58333
0.0503759,-1.1122e-05,0,0.58333
0.0505439,-1.11113e-05,0,0.58333
0.0507118,-1.11004e-05,0,0.58333
0.0508797,-1.10895e-05,0,0.58333
0.0510476,-1.10786e-05,0,0.58333
0.0512155,-1.10675e-05,0,0.58333
0.0513835,-1.10563e-05,0,0.58333
0.0515514,-1.10451e-05,0,0.58333
0.0517193,-1.10338e-05,0,0.58333
0.0518872,-1.10225e-05,0,0.58333
0.0520551,-1.1011e-05,0,0.58333
0.0522231,-1.09995e-05,0,0.58333
0.052391,-1.09879e-05,0,0.58333
0.0525589,-1.09761e-05,0,0.58333
0.0527268,-1.09643e-05,0,0.58333
0.0528947,-1.09524e-05,0,0.58333
0.0530627,-1.09404e-05,0,0.58333
0.0532306,-1.09283e-05,0,0.58333
0.0533985,-1.09162e-05,0,0.58333
0.0535664,-1.09039e-05,0,0.58333
0.0537343,-1.08915e-05,0,0.58333
0.0539023,-1.0879e-05,0,0.58333
0.0540702,-1.08665e-05,0,0.58333
0.0542381,-1.08538e-05,0,0.58333
0.054406,-1.0841e-05,0,0.58333
0.0545739,-1.08281e-05,0,0.58333
0.0547419,-1.08151e-05,0,0.58333
0.0549098,-1.0802e-05,0,0.58333
0.0550777,-1.07888e-05,0,0.58333
0.0552456,-1.07755e-05,0,0.58333
0.0554135,-1.07621e-05,0,0.58333
0.0555815,-1.07485e-05,0,0.58333
0.0557494,-1.07348e-05,0,0.58333
0.0559173,-1.0721e-05,0,0.58333
0.0560852,-1.07071e-05,0,0.58333
0.0562531,-1.06931e-05,0,0.58333
0.0564211,-1.0679e-05,0,0.58333
0.056589,-1.06647e-05,0,0.58333
0.0567569,-1.06503e-05,0,0.58333
0.0569248,-1.06358e-05,0,0.58333
0.0570927,-1.06211e-05,0,0.58333
0.0572607,-1.06064e-05,0,0.58333
0.0574286,-1.05915e-05,0,0.58333
0.0575965,-1.05764e-05,0,0.58333
0.0577644,-1.05613e-05,0,0.58333
0.0579323,-1.0546e-05,0,0.58333
0.0581003,-1.05305e-05,0,0.58333
0.0582682,-1.05149e-05,0,0.58333
0.0584361,-1.04992e-05,0,0.58333
0.058604,-1.04834e-05,0,0.58333
0.0587719,-1.04674e-05,0,0.58333
0.0589398,-1.04513e-05,0,0.58333
0.0591078,-1.0435e-05,0,0.58333
0.0592757,-1.04185e-05,0,0.58333
0.0594436,-1.0402e-05,0,0.58333
0.0596115,-1.03852e-05,0,0.58333
0.0597794,-1.03683e-05,0,0.58333
0.0599474,-1.03513e-05,0,0.58333
0.0601153,-1.03341e-05,0,0.58333
0.0602832,-1.03167e-05,0,0.58333
0.0604511,-1.02992e-05,0,0.58333
0.060619,-1.02815e-05,0,0.58333
0.060787,-1.02636e-05,0,0.58333
0.0609549,-1.02455e-05,0,0.58333
0.0611228,-1.02272e-05,0,0.58333
0.0612907,-1.02088e-05,0,0.58333
0.0614586,-1.01901e-05,0,0.58333
0.0616266,-1.01713e-05,0,0.58333
0.0617945,-1.01523e-05,0,0.58333
0.0619624,-1.01331e-05,0,0.58333
0.0621303,-1.01136e-05,0,0.58333
0.0622982,-1.0094e-05,0,0.58333
0.0624662,-1.00741e-05,0,0.58333
0.0626341,-1.00539e-05,0,0.58333
0.062802,-1.00336e-05,0,0.58333
0.0629699,-1.0013e-05,0,0.58333
0.0631378,-9.99213e-06,0,0.58333
0.0633058,-9.97103e-06,0,0.58333
0.0634737,-9.94967e-06,0,0.58333
0.0636416,-9.92803e-06,0,0.58333
0.0638095,-9.90614e-06,0,0.58333
0.0639774,-9.88398e-06,0,0.58333
0.0641454,-9.86152e-06,0,0.58333
0.0643133,-9.83878e-06,0,0.58333
0.0644812,-9.81575e-06,0,0.58333
0.0646491,-9.79243e-06,0,0.58333
0.064817,-9.76883e-06,0,0.58333
0.064985,-9.74493e-06,0,0.58333
0.0651529,-9.72071e-06,0,0.58333
0.0653208,-9.69622e-06,0,0.58333
0.0654887,-9.67145e-06,0,0.58333
0.0656566,-9.64635e-06,0,0.58333
0.0658246,-9.62096e-06,0,0.58333
0.0659925,-9.59531e-06,0,0.58333
0.0661604,-9.56935e-06,0,0.58333
0.0663283,-9.54312e-06,0,0.58333
0.0664962,-9.51665e-06,0,0.58333
0.0666642,-9.48992e-06,0,0.58333
0.0668321,-9.46293e-06,0,0.58333
0.067,-9.04634e-06,0,0.58333
