# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-3.631586e+00	-3.050134e+00	-1.089421e+01	-9.078693e+00	-1.815521e+00
1             	-4.178473e+00	-3.026084e+00	-8.133363e+00	-8.245155e+00	1.117916e-01
2             	-4.165243e+00	-3.004780e+00	-8.133421e+00	-8.231954e+00	9.853284e-02
3             	-4.109023e+00	-2.983459e+00	-8.133474e+00	-8.175760e+00	4.228585e-02
4             	-4.054985e+00	-2.962056e+00	-8.133493e+00	-8.121731e+00	-1.176177e-02
5             	-3.999223e+00	-2.940693e+00	-8.134158e+00	-8.066302e+00	-6.785564e-02
6             	-3.957208e+00	-2.919499e+00	-8.134314e+00	-8.024365e+00	-1.099489e-01
7             	-3.926501e+00	-2.898671e+00	-8.134212e+00	-7.993607e+00	-1.406056e-01
8             	-3.898779e+00	-2.878351e+00	-8.134218e+00	-7.965888e+00	-1.683298e-01
9             	-3.873234e+00	-2.858655e+00	-8.134179e+00	-7.940324e+00	-1.938555e-01
10            	-3.852161e+00	-2.839651e+00	-8.134130e+00	-7.919226e+00	-2.149041e-01
11            	-3.838681e+00	-2.821376e+00	-8.134054e+00	-7.905708e+00	-2.283464e-01
12            	-3.831128e+00	-2.803830e+00	-8.133964e+00	-7.898110e+00	-2.358536e-01
13            	-3.825341e+00	-2.786982e+00	-8.133857e+00	-7.892269e+00	-2.415873e-01
14            	-3.820469e+00	-2.770809e+00	-8.133729e+00	-7.887334e+00	-2.463952e-01
15            	-3.815970e+00	-2.755275e+00	-8.133579e+00	-7.882760e+00	-2.508193e-01
16            	-3.813943e+00	-2.740362e+00	-8.133441e+00	-7.880664e+00	-2.527771e-01
17            	-3.815109e+00	-2.726043e+00	-8.133306e+00	-7.881762e+00	-2.515440e-01
18            	-3.819274e+00	-2.712285e+00	-8.129458e+00	-7.884003e+00	-2.454552e-01
19            	-3.820997e+00	-2.699062e+00	-8.129394e+00	-7.885694e+00	-2.436998e-01
20            	-3.821129e+00	-2.686347e+00	-8.129393e+00	-7.885825e+00	-2.435676e-01
21            	-3.819943e+00	-2.674113e+00	-8.129409e+00	-7.884647e+00	-2.447618e-01
22            	-3.817954e+00	-2.662338e+00	-8.129432e+00	-7.882670e+00	-2.467624e-01
23            	-3.815532e+00	-2.651001e+00	-8.129459e+00	-7.880262e+00	-2.491975e-01
24            	-3.853562e+00	-2.640122e+00	-8.134672e+00	-7.920898e+00	-2.137746e-01
25            	-3.849436e+00	-2.629622e+00	-8.134573e+00	-7.916722e+00	-2.178510e-01
26            	-3.848171e+00	-2.619500e+00	-8.134529e+00	-7.915435e+00	-2.190939e-01
27            	-3.847275e+00	-2.609751e+00	-8.134493e+00	-7.914522e+00	-2.199708e-01
