z,p_rgh,alpha.concrete,nu1
0,-168.132,1,0.005252
0.000336683,-168.132,1,0.00636509
0.000673367,-168.132,1,0.00799803
0.00101005,-168.132,1,0.0106466
0.00134673,-168.132,1,0.0150935
0.00168342,-168.132,1,0.0224018
0.0020201,-168.132,1,0.0332166
0.00235678,-168.132,1,0.0454988
0.00269347,-168.132,1,0.0522736
0.00303015,-168.132,1,0.053083
0.00336683,-168.132,1,0.053083
0.00370352,-168.132,1,0.053083
0.0040402,-168.132,1,0.053083
0.00437688,-168.132,1,0.053083
0.00471357,-168.132,1,0.053083
0.00505025,-168.132,1,0.053083
0.00538693,-168.132,1,0.053083
0.00572362,-168.132,1,0.053083
0.0060603,-168.132,1,0.053083
0.00639698,-168.132,1,0.053083
0.00673367,-168.132,1,0.053083
0.00707035,-168.132,1,0.053083
0.00740704,-168.132,1,0.053083
0.00774372,-168.132,1,0.053083
0.0080804,-168.132,1,0.053083
0.00841709,-168.132,1,0.053083
0.00875377,-168.132,1,0.053083
0.00909045,-168.132,1,0.053083
0.00942714,-168.132,1,0.053083
0.00976382,-168.132,1,0.053083
0.0101005,-168.132,1,0.053083
0.0104372,-168.132,1,0.053083
0.0107739,-168.132,1,0.053083
0.0111106,-168.132,1,0.053083
0.0114472,-168.132,1,0.053083
0.0117839,-168.132,1,0.053083
0.0121206,-168.132,1,0.053083
0.0124573,-168.132,1,0.053083
0.012794,-168.132,1,0.053083
0.0131307,-168.132,1,0.053083
0.0134673,-168.132,1,0.053083
0.013804,-168.132,1,0.053083
0.0141407,-168.132,1,0.053083
0.0144774,-168.132,1,0.053083
0.0148141,-168.132,1,0.053083
0.0151508,-168.132,1,0.053083
0.0154874,-168.132,1,0.053083
0.0158241,-168.133,1,0.053083
0.0161608,-168.132,1,0.053083
0.0164975,-168.132,1,0.053083
0.0168342,-168.132,1,0.053083
0.0171709,-168.132,1,0.053083
0.0175075,-168.132,1,0.053083
0.0178442,-168.132,1,0.053083
0.0181809,-168.132,1,0.053083
0.0185176,-168.132,1,0.053083
0.0188543,-168.132,1,0.053083
0.019191,-168.132,1,0.053083
0.0195276,-168.132,1,0.053083
0.0198643,-168.132,1,0.053083
0.020201,-168.132,1,0.053083
0.0205377,-168.132,1,0.053083
0.0208744,-168.132,1,0.053083
0.0212111,-168.132,1,0.053083
0.0215477,-168.132,1,0.053083
0.0218844,-168.133,1,0.053083
0.0222211,-168.133,1,0.053083
0.0225578,-168.133,1,0.053083
0.0228945,-168.133,1,0.053083
0.0232312,-168.133,1,0.053083
0.0235678,-168.132,1,0.053083
0.0239045,-168.132,1,0.053083
0.0242412,-168.132,1,0.053083
0.0245779,-168.132,1,0.053083
0.0249146,-168.133,1,0.053083
0.0252513,-168.133,1,0.053083
0.0255879,-168.133,1,0.053083
0.0259246,-168.133,1,0.053083
0.0262613,-168.133,1,0.053083
0.026598,-168.133,1,0.053083
0.0269347,-168.133,1,0.053083
0.0272714,-168.133,1,0.053083
0.027608,-168.133,1,0.053083
0.0279447,-168.133,1,0.053083
0.0282814,-168.133,1,0.053083
0.0286181,-168.133,1,0.053083
0.0289548,-168.133,1,0.053083
0.0292915,-168.133,1,0.053083
0.0296281,-168.133,1,0.053083
0.0299648,-168.133,1,0.053083
0.0303015,-168.133,1,0.053083
0.0306382,-168.133,1,0.053083
0.0309749,-168.133,1,0.053083
0.0313116,-168.134,1,0.053083
0.0316482,-168.133,1,0.053083
0.0319849,-168.133,1,0.053083
0.0323216,-168.133,1,0.053083
0.0326583,-168.134,1,0.053083
0.032995,-168.134,1,0.053083
0.0333317,-126.312,0.751256,0.0406402
0.0336683,-41.8223,0.248744,0.0153884
0.034005,6.35866e-07,0,0.00466273
0.0343417,6.29587e-07,0,0.0193764
0.0346784,6.23893e-07,0,0.0427576
0.0350151,6.1778e-07,0,0.053083
0.0353518,6.11198e-07,0,0.053083
0.0356884,6.04146e-07,0,0.053083
0.0360251,5.96615e-07,0,0.053083
0.0363618,5.88614e-07,0,0.053083
0.0366985,5.80168e-07,0,0.053083
0.0370352,5.71269e-07,0,0.053083
0.0373719,5.61899e-07,0,0.053083
0.0377085,5.52088e-07,0,0.053083
0.0380452,5.41832e-07,0,0.053083
0.0383819,5.31098e-07,0,0.053083
