# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-3.631450e+00	-4.139338e+00	-1.089421e+01	-9.078557e+00	-1.815657e+00
1             	-4.262208e+00	-3.934148e+00	-8.133314e+00	-8.328865e+00	1.955513e-01
2             	-4.194495e+00	-3.768165e+00	-8.133294e+00	-8.261142e+00	1.278483e-01
3             	-4.099856e+00	-3.634057e+00	-8.133310e+00	-8.166511e+00	3.320095e-02
4             	-4.058185e+00	-3.512019e+00	-8.133391e+00	-8.124880e+00	-8.510434e-03
5             	-4.043738e+00	-3.403753e+00	-8.133363e+00	-8.110420e+00	-2.294296e-02
6             	-4.044801e+00	-3.308085e+00	-8.133354e+00	-8.111478e+00	-2.187539e-02
7             	-4.042580e+00	-3.223759e+00	-8.133355e+00	-8.109257e+00	-2.409796e-02
8             	-4.037719e+00	-3.149463e+00	-8.133350e+00	-8.104395e+00	-2.895575e-02
9             	-4.032221e+00	-3.083970e+00	-8.133342e+00	-8.098893e+00	-3.444979e-02
10            	-4.029032e+00	-3.026184e+00	-8.133336e+00	-8.095700e+00	-3.763626e-02
11            	-4.029744e+00	-2.975086e+00	-8.133330e+00	-8.096409e+00	-3.692161e-02
12            	-4.030998e+00	-2.929607e+00	-8.133331e+00	-8.097663e+00	-3.566794e-02
13            	-4.034571e+00	-2.888916e+00	-8.133306e+00	-8.101224e+00	-3.208145e-02
14            	-4.039323e+00	-2.852288e+00	-8.133307e+00	-8.105976e+00	-2.733058e-02
15            	-4.040862e+00	-2.819117e+00	-8.133305e+00	-8.107514e+00	-2.579066e-02
16            	-4.040142e+00	-2.788922e+00	-8.133302e+00	-8.106793e+00	-2.650873e-02
17            	-4.038207e+00	-2.761318e+00	-8.133299e+00	-8.104857e+00	-2.844200e-02
18            	-4.035682e+00	-2.735990e+00	-8.133296e+00	-8.102330e+00	-3.096548e-02
19            	-4.032941e+00	-2.712678e+00	-8.133294e+00	-8.099588e+00	-3.370530e-02
20            	-4.030207e+00	-2.691165e+00	-8.133292e+00	-8.096853e+00	-3.643900e-02
21            	-4.027599e+00	-2.671269e+00	-8.133290e+00	-8.094244e+00	-3.904597e-02
22            	-4.026340e+00	-2.652838e+00	-8.133290e+00	-8.092985e+00	-4.030437e-02
23            	-4.015809e+00	-2.635750e+00	-8.133165e+00	-8.082392e+00	-5.077366e-02
24            	-4.013133e+00	-2.619905e+00	-8.133074e+00	-8.079670e+00	-5.340392e-02
25            	-4.013370e+00	-2.605161e+00	-8.133074e+00	-8.079908e+00	-5.316656e-02
26            	-4.014406e+00	-2.591394e+00	-8.133077e+00	-8.080944e+00	-5.213286e-02
27            	-4.015683e+00	-2.578495e+00	-8.133082e+00	-8.082224e+00	-5.085834e-02
28            	-4.016044e+00	-2.566363e+00	-8.133089e+00	-8.082589e+00	-5.050043e-02
29            	-4.015647e+00	-2.554919e+00	-8.133094e+00	-8.082194e+00	-5.090027e-02
30            	-4.014841e+00	-2.544095e+00	-8.133099e+00	-8.081391e+00	-5.170797e-02
31            	-4.013812e+00	-2.533832e+00	-8.133103e+00	-8.080364e+00	-5.273916e-02
32            	-4.012672e+00	-2.524081e+00	-8.133107e+00	-8.079225e+00	-5.388177e-02
33            	-4.011490e+00	-2.514800e+00	-8.133111e+00	-8.078046e+00	-5.506548e-02
34            	-4.010314e+00	-2.505954e+00	-8.133115e+00	-8.076871e+00	-5.624343e-02
35            	-4.009176e+00	-2.497510e+00	-8.133119e+00	-8.075735e+00	-5.738353e-02
36            	-4.021114e+00	-2.489452e+00	-8.133386e+00	-8.087807e+00	-4.557952e-02
37            	-4.018211e+00	-2.481736e+00	-8.133362e+00	-8.084892e+00	-4.846960e-02
38            	-4.017141e+00	-2.474347e+00	-8.133353e+00	-8.083817e+00	-4.953581e-02
39            	-4.016122e+00	-2.467269e+00	-8.133348e+00	-8.082796e+00	-5.055146e-02
40            	-4.015188e+00	-2.460482e+00	-8.133344e+00	-8.081860e+00	-5.148402e-02
41            	-4.014342e+00	-2.453971e+00	-8.133342e+00	-8.081013e+00	-5.232864e-02
42            	-4.013717e+00	-2.447723e+00	-8.133340e+00	-8.080387e+00	-5.295330e-02
43            	-4.012777e+00	-2.441713e+00	-8.133401e+00	-8.079477e+00	-5.392360e-02
44            	-4.013184e+00	-2.435973e+00	-8.133389e+00	-8.079878e+00	-5.351080e-02
45            	-4.013363e+00	-2.430469e+00	-8.133380e+00	-8.080053e+00	-5.332661e-02
46            	-4.013777e+00	-2.425190e+00	-8.133373e+00	-8.080464e+00	-5.290928e-02
47            	-4.014352e+00	-2.420124e+00	-8.133368e+00	-8.081036e+00	-5.233169e-02
48            	-4.014997e+00	-2.415253e+00	-8.133365e+00	-8.081680e+00	-5.168495e-02
49            	-4.015406e+00	-2.410563e+00	-8.133364e+00	-8.082088e+00	-5.127583e-02
50            	-4.015531e+00	-2.406038e+00	-8.133362e+00	-8.082212e+00	-5.114989e-02
51            	-4.015530e+00	-2.401669e+00	-8.133361e+00	-8.082210e+00	-5.115053e-02
52            	-4.015457e+00	-2.397443e+00	-8.133359e+00	-8.082136e+00	-5.122297e-02
53            	-4.015343e+00	-2.393353e+00	-8.133358e+00	-8.082022e+00	-5.133539e-02
54            	-4.015210e+00	-2.389388e+00	-8.133356e+00	-8.081888e+00	-5.146836e-02
55            	-4.015069e+00	-2.385541e+00	-8.133355e+00	-8.081746e+00	-5.160912e-02
56            	-4.014928e+00	-2.381807e+00	-8.133354e+00	-8.081605e+00	-5.174898e-02
57            	-4.014795e+00	-2.378177e+00	-8.133353e+00	-8.081471e+00	-5.188185e-02
58            	-4.014673e+00	-2.374648e+00	-8.133352e+00	-8.081349e+00	-5.200335e-02
59            	-4.014565e+00	-2.371214e+00	-8.133351e+00	-8.081241e+00	-5.211032e-02
60            	-4.014475e+00	-2.367871e+00	-8.133350e+00	-8.081150e+00	-5.220042e-02
61            	-4.014403e+00	-2.364614e+00	-8.133349e+00	-8.081077e+00	-5.227197e-02
62            	-4.014350e+00	-2.361441e+00	-8.133348e+00	-8.081024e+00	-5.232427e-02
63            	-4.014318e+00	-2.358347e+00	-8.133348e+00	-8.080991e+00	-5.235628e-02
64            	-4.014306e+00	-2.355330e+00	-8.133347e+00	-8.080980e+00	-5.236703e-02
65            	-4.013437e+00	-2.352338e+00	-8.133357e+00	-8.080116e+00	-5.324126e-02
66            	-4.013183e+00	-2.349465e+00	-8.133378e+00	-8.079872e+00	-5.350585e-02
67            	-4.013103e+00	-2.346662e+00	-8.133383e+00	-8.079795e+00	-5.358831e-02
68            	-4.013119e+00	-2.343926e+00	-8.133386e+00	-8.079812e+00	-5.357409e-02
69            	-4.048137e+00	-2.341581e+00	-8.133492e+00	-8.114883e+00	-1.860855e-02
70            	-4.009625e+00	-2.338685e+00	-8.133558e+00	-8.076404e+00	-5.715457e-02
71            	-4.046431e+00	-2.336461e+00	-8.133440e+00	-8.113150e+00	-2.028913e-02
72            	-4.010199e+00	-2.333667e+00	-8.133552e+00	-8.076975e+00	-5.657691e-02
73            	-4.045550e+00	-2.331545e+00	-8.133439e+00	-8.112269e+00	-2.116973e-02
74            	-4.010604e+00	-2.328868e+00	-8.133548e+00	-8.077378e+00	-5.617037e-02
75            	-4.045061e+00	-2.326847e+00	-8.133438e+00	-8.111780e+00	-2.165780e-02
76            	-4.011139e+00	-2.324281e+00	-8.133545e+00	-8.077912e+00	-5.563333e-02
77            	-4.015763e+00	-2.322042e+00	-8.133577e+00	-8.082551e+00	-5.102546e-02
